"","Blank 1","Frequency","Blank 2","Frequency"
"1","",42,"consent                                        ",28
"21","donor",7,"informed consent                                       ",9
"19","donors",1,"consent prior to the performance of any research related procedures                               ",6
"28","able to sign",1,"informed consent and hipaa authorization and agree to comply with all protocol specified procedures and follow up evaluations                       ",2
"40","able and willing to give",1,"consent must be given before performance of any study related procedure                              ",2
"49","are able to provide",1,"consent and assent if donor < 18 years of age prior to the performance of any research related procedure                      ",1
"54","able to give",1,"consent before any research related procedures or therapy                                 ",1
"2","",NA,"consent admcLt or parental / guardian                                   ",1
"3","",NA,"consent prior to the performance of any research related procedure                              ",1
"4","",NA,"informed consent of the patient both to participate in the study and to provide biopsy samples obtained before any study specific procedure .                  ",1
"5","",NA,"and signed informed consent                                ",1
"6","",NA,"informed consent .                                      ",1
