"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"3","",12,"",40,"enrollment                                                                                                                                         ",3
"10","documented disease",5,"on at least one prior line",4,"disease over any interval is allowed and / or new / worsening disease related symptoms within 6 months prior to study enrollment note this assessment will be performed by the treating investigator evidence of progression by recist criteria is not required                                                                                ",3
"11","patients must have completed or had disease",3,"can only be defined using diagnostic imaging if there is new enhancement outside",2,"the aforementioned criteria .                                                                                                                          ",2
"12","documented",3,"or recurrence",2,"disease                                                                                                                                               ",2
"58","disease",3,"including history and increasing physical symptoms on study documentation will include a physician s rationale that supports evidence",1,"clinical disease progression i . e . increasing tumor pain                                                                                                ",1
"7","must have radiographic disease",2,"following at least 1 and no more than 2 prior systemic regimens for advanced disease nonresectable or metastatic . subjects must have received at least 1 gemcitabine or 5 fu containing regimen for advanced cholangiocarcinoma . subjects who have received systemic adjuvant chemotherapy will be permitted provided there is documented disease progression during or within 6 months",1,"completing the therapy .                                                                                ",1
"36","or evidence for histologic",2,"on at least one prior systemic therapy or progression during an observation phase",1,"no anti cancer therapy within the prior 3 months prior taxanes are allowed                                                                                                                      ",1
"39","evidence of",2,"or active disease observed on biopsy i . e . hematologic or solid tumor malignancy must be deemed active by the treating investigator the investigator may deem that the disease is active on the basis",1,"a pre treatment biopsy demonstrating viable tumor cells or clinical progression of disease i . e . recist progression is not required                                                                          ",1
"69","patients must have documentation of a new or progressive lesion on a radiologic imaging study performed within 6 months prior to study enrollment",2,"at the site",1,"prior treatment                                                                                                                     ",1
"1","patients with newly diagnosed unresectable metastatic and measurable asps will also be eligible if they show clinical evidence of disease",1,"with to imatinib at the dose",1,"400 mg as first line treatment . resistance progression is defined as a recist 1 . 1 and / or choi disease progression while receiving imatinib treatment                                                                                                             ",1
"2","have documented disease",1,"after at least 1 line",1,"systemic cytotoxic therapy for metastatic disease or with progression within 12 months of completing adjuvant chemotherapy .                                                                                                                      ",1
"4","prior act therapy shomcLd be completed and residual disease documented by either radiographic",1,"within 6 months prior to randomization . if the patient received other intervening therapy after documented disease progression further disease progression must be documented after the completion",1,"disease over any interval is allowed and / or new / worsening disease related symptoms within 12 months prior to study enrollment this assessment is performed by the treating investigator evidence of progression by recist criteria is not required                                                                                  ",1
"5","prior chemoembolization of local ablative therapies are allowed provided there is measurable disease outside of the area treated or documented evidence of",1,"per recist v . 1 . 1 during or immediately after last therapy according to any",1,"the intervening therapy                                                                                                              ",1
"6","patient after",1,"to prior therapies a cohort a disease progression following prior immune checkpoint blockade therapy b cohort b progression or intolerance to at least 2 prior lines",1,"disease appropriate therapy for metastatic disease or not be a candidate for therapy of proven efficacy for their disease due to an underlying physical condition                                                                                                          ",1
"8","participants must have documentation of a new or progressive lesion on a radiologic imaging study performed within 12 months prior to study enrollment",1,"at the time",1,"standard therapy for unresectable or metastatic crc c cohort c disease progression following prior immune checkpoint blockade therapy .                                                                                                  ",1
"9","radiologic evidence of disease",1,"with scan documenting progression occurring within 8 weeks",1,"disease defined as any progression that requires a change in treatment prior to randomization                                                                                                                                 ",1
"13","evidence of disease",1,"during treatment with pd 1 or pd l1 inhibiting therapy r n note both the treating medical oncologist and radiation oncologist must be in agreement with determination",1,"their low grade glioma after coming off treatment with azd6244 on pbtc 029 or pbtc 029b with or without having received additional anti tumor therapy following discontinuation of azd6244 the progression must be unequivocal and sufficient to warrant re treatment in the opinion of the investigator progression will be defined as either progressive disease pd that meets the study definitions of progressive disease by mri or vision deterioration thought to be related to tumor in patients with optic pathway tumors                                                           ",1
"15","patients must have recurrence or",1,"on alectinib including patients who received alectinib as first line treatment subsequent anti neoplastic therapy including other alk inhibitors or chemotherapy after progression on alectinib is not permitted note patients in the dose finding portion",1,"disease and for whom an additional 4 6 weeks of current therapy post progression therapy is acceptable as standard therapy                                                                                                            ",1
"17","admcLt patients stage iv lung cancer or melanoma receiving commercial supply immune checkpoint inhibitor therapy with",1,"and cannot be a candidate for surgical treatment or radiation r n note disease progression is defined as one",1,"signing informed consent                                                                                                                                ",1
"18","have evidence of radiographic disease",1,"as defined by recist v1 . 1 within the past 12 months patients whose tumors do not meet this criterion and have a diagnosis",1,"disease progression                                                                                                             ",1
"19","clinical or radiographic evidence of disease",1,"or therapy intolerance . patients with disease progression on anthracycline based therapy shomcLd be evaluated by the surgical team . if the patient is deemed inoperable at the time",1,"the study may have received other anti neoplastic therapy after progression on alectinib                                                                                       ",1
"20","for the expansion cohort patients must have had disease",1,"after 1 line",1,"disease while on it are ineligible patients receiving treatment with tdm1 whose only site of disease progression was brain are allowed to enroll in this trial                                                                                                          ",1
"21","patients who have received previous treatment with t dm1 and had systemic",1,"or recurrence = < 12 months",1,"the following occurring within the 6 months prior to study entry r n at least a 20 increase in radiologically or clinically measurable lesions r n appearance of any new lesions or r n symptomatic and / or deterioration in clinical status                                                                             ",1
"22","patients must have evidence of disease",1,"patients that received 1 2 cycles",1,"nf1 may enroll on the nf1 natural history study                                                                                                          ",1
