"","Blank 1","Frequency","Blank 2","Frequency"
"3","",79,"or evaluable disease                                                                                                                                                                        ",51
"15","patients must have",30,"disease                                                                                                                                                                   ",19
"4","patients must have either",13,"or evaluable disease .                                                                                                                                                                              ",7
"85","have",8,"disease defined as at least one of the following                                                                                                                                                                       ",5
"9","radiologically",7,"disease defined as any of the following                                                                                                                                                                           ",3
"48","presence of",7,"disease defined by at least 1 of the following 3 measurements                                                                                                                                                                    ",3
"101","all patients must have",5,"lymphadenopathy                                                                                                                                                                                 ",3
"27","patients must have evaluable or",4,"or nonmeasurable disease                                                                                                                                                                         ",3
"36","evaluable or",4,"or clinically evaluable disease                                                                                                                                                                             ",2
"59","patients may have",4,"and / or evaluable disease                                                                                                                                                                         ",2
"99","must have",4,"disease is not required                                                                                                                                                                         ",2
"33","subjects must have either",3,"or evaluable disease are eligible                                                                                                                                                                           ",2
"34","evidence of",3,"disease after diagnostic biopsy                                                                                                                                                                           ",2
"70","patients with",3,"disease r n patients with radiologically discernible but non measurable lesions i . e . leptomeningeal disease r n patients with csf positive disease                                                                                                                                         ",2
"7","part a patients must have either",2,"disease based on irrecist                                                                                                                                                                             ",2
"12","patient must have",2,"disease according to the lugano classification                                                                                                                                                                            ",2
"16","participants enrolling to the phase i portion of the trial must have evaluable or",2,"or non measurable disease but in all cases eligible patients must have disease that can be clinically evaluated for improvement or progression                                                                                                                                                        ",2
"30","subjects must have",2,"disease must be present either on physical examination or imaging studies non measurable disease alone is not acceptable any tumor mass > = 1 cm is acceptable lesions that are considered non measurable include the following r n bone lesions r n leptomeningeal disease r n ascites r n pleural / pericardial effusion r n inflammatory breast disease r n lymphangitis cutis / pmcLmonis r n bone marrow involvement involvement by non hodgkin lymphoma shomcLd be noted                                                                                                     ",2
"40","patient must have either",2,"disease or nonmeasurable bone only disease                                                                                                                                                                          ",2
"55","patients with neuroblastoma who do not have",2,"disease for parts b1 b6 d1 d5 e3 and e4 melanoma patients in part b7 must have either measurable or evaluable disease neuroblastoma patients in parts b8 and d6 must be evaluable for mibg response without evidence of recist measurable lesions                                                                                                                                  ",1
"100","participants must have",2,"or evaluable disease r n parts b and c patients must have measurable disease on imaging                                                                                                                                                        ",1
"136","patients who have",2,"or evaluable disease per the appropriate disease criteria .                                                                                                                                                                    ",1
"143","has",2,"and clinically evaluable disease                                                                                                                                                                             ",1
"158","patients may have either",2,"disease as defined by irrecist . patients with castrate resistant prostate cancer can have measurable or evaluable disease . patients with evaluable disease must have documented evidence of progressive disease as defined by any of the following                                                                                                                                             ",1
"218","for parts b c d e and f have",2,"and / or evaluable disease per lugano classification                                                                                                                                                                          ",1
"230","have either",2,"disease that meets the following criteria                                                                                                                                                                          ",1
"1","parts a c patients must have either",1,"or evaluable tumor                                                                                                                                                                           ",1
"2","parts b d e patients must have",1,"or evaluable malignant disease                                                                                                                                                                      ",1
"6","disease status r n part a patients must have either",1,"disease for response assessment                                                                                                                                                                           ",1
"11","group a subjects must have",1,"or evaluable non measurable disease .                                                                                                                                                                        ",1
"18","participants must have evaluable or",1,"disease but have mibg avid evaluable disease are eligible                                                                                                                                                                  ",1
"41","arms 1 2 3 patients shomcLd have clinically",1,"and / or evaluable disease r n phase 2 part b patients with neuroblastoma must have proven alk disease with either measurable and / or evaluable disease as indicated below r n measurable tumor on magnetic resonance imaging mri computed tomography ct scan or x ray obtained within 2 weeks prior to study enrollment r n evaluable tumor by meta iodobenzyl guanidine i 123 mibg scan and / or bone marrow involvement with tumor cells seen on routine morphology r n phase 2 part c patients must have proven alk disease with either measurable or evaluable disease                                                                     ",1
"45","patient must have evaluable disease",1,"disease or evaluable disease with relevant tumor marker elevation .                                                                                                                                                                        ",1
"46","patients with dscrt are not required to have",1,"or evaluable disease is allowed                                                                                                                                                                          ",1
"47","has evaluable or",1,"disease non cll b cell malignancies arms a c and d                                                                                                                                                                     ",1
"49","patients without",1,"or not measurable .                                                                                                                                                                        ",1
"50","for part 1 evaluable or",1,"or evaluable disease patients shomcLd have at least one measurable lesion                                                                                                                                                                     ",1
"52","pre registration documentation of",1,"or evaluable disease based on iwcll criteria                                                                                                                                                                           ",1
"54","subjects shomcLd have",1,"malignant disease at enrollment                                                                                                                                                                         ",1
"60","disease status r n phase 1 part a patients must have either",1,"                                                                                                                                                                             ",1
"64","must have evaluable or",1,"or non measurable but evaluable disease .                                                                                                                                                                        ",1
"68","phase i either",1,"or evaluable disease as defined in the study protocol                                                                                                                                                                         ",1
"72","patients with recurrence who undergo resection and are left without",1,"tumor s                                                                                                                                                                           ",1
"76","evaluable /",1,"or evaluable disease only                                                                                                                                                                         ",1
"78","subjects need to have evaluable disease",1,"lesion or evaluable disease                                                                                                                                                                           ",1
"79","histologically confirmed",1,"or non measurable evaluable tumor parameter s non measurable tumor parameters will be defined as not having bi dimensional measurements i . e . gastric or marrow involvement but can be followed for response by other diagnostic tests such as gallium pet imaging and / or bone marrow biopsy                                                                                                                                 ",1
"83","evaluable disease or disease",1,"disease or non measurable evaluable disease are eligible .                                                                                                                                       ",1
"87","disease status must be that of",1,"disease defined by recist v . 1 . 1 or evaluable disease defined as solid and / or cystic abnormalities on radiographic imaging that do not meet recist 1 . 1 definitions for target lesions or ascites and / or pleural effusion that has been pathologically demonstrated to be disease related in the setting of cancer antigen ca 25 > = 2 x upper limit of normal mcLn                                                                                                              ",1
"93","phase i patients may have",1,"or non measurable disease per response evaluation criteria in solid tumors recist 1 . 1 residual disease can either be confirmed with fine needle aspiration fna or if measurable disease is present no fna needs to be obtained or                                                                          ",1
"95","at least one",1,"disease and / or non measurable disease r n measurable disease defined as bidimensionally measurable lesions with clearly defined margins by magnetic resonance imaging mri scans with a minimum diameter of 10 mm in both dimensions r n progressive disease required in cohort b defined as any progressive measurable disease after surgery and radiation progressive or recurrent disease is not required in cohort a                                                                                                                  ",1
"98","for parts a and b participants must have evaluable or",1,"on radiograph or ct scan or evaluable disease defined as non measurable lesions per recist v . 1 . 1 e . g . malignant ascites . all patients enrolled to the randomized study phase must have measurable disease only .                                                                                                                             ",1
"104","imaging investigations including ct / mri of chest / abdomen / pelvis or other scans as necessary to document all sites of disease performed within 21 days prior to randomization . patients with either",1,"disease only non measurable disease only or both response evaluation criteria in solid tumors recist 1 . 1 concomitant treatment with bone targeted therapies such as rankl inhibitors or bisphosphonates is allowed it is anticipated that most patients will have measurable disease given the behavior of her2 metastatic breast cancer                                                                                                                             ",1
