"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"3","",35,"whole brain",10,"                                                                                                                                     ",25
"31","history of",4,"total body",9,".                                                                                                                                        ",3
"2","> = 2 weeks must have elapsed for local palliative radiation therapy xrt small port and enrollment on study at least 24 weeks must have elapsed since",2,"pelvic",7,"> = 6 weeks prior to enrollment r n local palliative radiation therapy xrt small port > = 2 weeks                                                                                               ",2
"1","> = 2 weeks must have elapsed since local palliative radiation therapy xrt small port > = 6 weeks must have elapsed since treatment with therapeutic doses of m iodobenzylguanidine mibg > = 3 months must have elapsed if",1,"to enrollment r n focal",4,"or total body irradiation > = 12 weeks prior to registration                                                                                    ",2
"4","radiotherapy > = 2 weeks must have elapsed since local palliative radiotherapy xrt small port > = 3 months must have elapsed if",1,"",4,"tbi                                                                                                                                        ",2
"5","patients must have had their last fraction of r n craniospinal irradiation > = 3 months",1,"cranial",3,"tbi was received > = 6 weeks must have elapsed if other substantial bone marrow irradiation was given r n subjects shomcLd not have any clinically relevant ongoing complications from prior radiation therapy i . e . radiation esophagitis or other inflammation of the viscera                                      ",1
"6","inclusion criteria for stratum c patients must have had their last fraction of r n craniospinal irradiation > = 3 months",1,"to enrollment r n other substantial bone marrow",2,"tbi radiation to > = 50 of pelvis or craniospinal radiation > = 6 weeks must have elapsed if the patient has received other substantial bone marrow radiation                                                                                  ",1
"7","at least 2 weeks must have elapsed since local radiation therapy xrt small port 3 months must have elapsed if",1,"to registration investigators are reminded to review potentially eligible cases to avoid confusion with pseudo progression r n had their last fraction of craniospinal",2,"tbi craniospinal xrt or if 50 radiation of pelvis 45 days must have elapsed if other substantial bone marrow radiation                                                                                               ",1
"9","at least 2 weeks must have elapsed since local palliative radiation therapy xrt small port at least 6 weeks must have elapsed since treatment with therapeutic doses of metaiodobenzylguanidine mibg at least 3 months must have elapsed if",1,"chemotherapy or pelvic",2,"was given .                                                                                       ",1
"10","the subject must have recovered from the acute toxic effects of all",1,"craniospinal xrt was received if > = 50 of the pelvis was irradiated or if total body",1,"tbi was received 6 weeks must have elapsed if other substantial bone marrow irradiation was given                                                                                      ",1
"11","> = 2 weeks must have elapsed for local radiation therapy xrt small port > = 6 months must have elapsed if",1,"to registration patients must be 14 days for local palliative radiation therapy xrt small port 90 days must have elapsed if prior total body",1,"total craniospinal xrt or 50 radiation of pelvis within 6 months of receiving first dose of study drug                                                                                                                       ",1
