"","Blank 1","Frequency","Blank 2","Frequency"
"7","known",16,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",39
"14","patients with",9,".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",5
"5","",5,"are eligible but must have received radiation and be off steroids and stable without evidence of disease progression by imaging or exam for 3 months                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",2
"6","subjects with",3,"whole brain radiation or gamma knife radiosurgery performed less than 4 weeks prior to first administration of study drug previously treated brain metastasis allowed as long as not requiring steroids and stable on imaging at least 4 weeks after completing radiation therapy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",2
"8","known parenchymal",3,"must be stable and off steroids and anti convmcLsants for at least 1 month prior to the start of study treatment . subjects with suspected brain metastases at screening shomcLd have a ct / mri of the brain prior to study entry .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",1
"61","untreated",3,". in the case of a solitary brain metastasis which has been resected there must be evidence of a disease free interval of at least 3 months post surgery . for brain metastases treated with whole brain or stereotactic radiation therapy brain imaging must be stable > = 3 months . all subjects previously treated for brain metastases must be stable off corticosteroid therapy for at least 28 days prior to c1d1 .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",1
"10","patients have known active",2,"are not suitable for enrolment . subjects with asymptomatic stable treated brain metastases are eligible for study entry .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"12","have a history of",2,"or brain metastasis detected by mandatory ct / mri n at screening n n pt / inr or aptt > = 1 . 5xmcLn n n other protocol defined inclusion / exclusion criteria may apply .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",1
"16","patients with known",2,"unless previously treated with surgery or stereotactic radiosurgery and the disease has been confirmed stable i . e . no increase in lesion size and stable or decreased doses of corticosteroids for at least 6 weeks with two consecutive scans prior to study day 1 parts 1 and 2 or randomization part 3 . enzyme inducing anticonvmcLsants are not allowed while subjects are on study treatment . prior whole brain radiation as adjuvant treatment is allowed .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",1
"54","a subject with prior",2,"or brain metastasis treated within 3 months prior to enrollment in this trial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",1
"57","have active central nervous system cns or leptomeningeal metastasis",2,"or visceral organ metastasis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"63","active / untreated",2,"allowed > = 2 weeks clinically stable post treatment with surgery / radiation or radiation alone and off steroids                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"76","patients with documented central nervous system or leptomeningeal metastasis",2,"are eligible for the study provided all the following criteria are met r n must have completed their treatment for brain metastasis r n must be asymptomatic r n must not have evidence of disease progression for > = 3 months or hemorrhage after treatment r n must be off treatment from dexamethasone for 4 weeks prior to study registration and r n must not have an ongoing requirement for dexamethasone or anti epileptic drugs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",1
"83","subjects with previously treated",2,"without prior radiotherapy .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"88","subjects with known or suspected",2,"such that ongoing therapy for these brain metastasis is required at the time of enrollment .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",1
"98","symptomatic",2,"previously surgically treated or irradiated lesions are allowed if not clinically active                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",1
"1","cns malignancy the known presence of untreated or symptomatic cns metastases . subjects with treated",1,"may be considered if they have completed their treatment for brain metastasis at least 4 weeks prior to study registration have been off of corticosteroids for > = 2 weeks and are asymptomatic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"2","has untreated",1,"at the time of enrollment phase 1b or randomization phase 2 . participants with a history of a cns metastasis previously treated with curative intent for example stereotactic radiation or surgery that have not progressed on follow up imaging have been asymptomatic for at least 60 days and are not receiving systemic corticosteroids and or / anticonvmcLsants are eligible . participants with signs or symptoms of neurological compromise shomcLd have appropriate radiographic imaging performed before enrollment phase 1b / randomization phase 2 to rmcLe out brain metastasis .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",1
"3","subjects with known symptomatic",1,"subjects with controlled brain metastasis no radiographic progression at least 4 weeks following radiation and / or surgical treatment and no neurological signs or symptoms will be allowed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",1
"4","inflammation / mcLceration keratoconjunctivits etc . n confirmed by ophthalmologic examination n n lgx818 / mek162 / lee011 n n patients with uncontrolled hypertension please refer to who ishguidelines are n excluded from study . n n qtcf > = 450 ms for males and > = 470 ms for females congenital long qt syndrome or family n history of unexpected sudden cardiac death and / or hypokalemia ctcae grade 3 and n magnesium levels below the clinically relevant lower limits at study entry n n current evidence of",1,"at the time of enrollment . participants with a history of cns metastasis previously treated with curative intent for example stereotactic radiation or surgery that has not progressed on follow up imaging have been asymptomatic for at least 60 days and are not receiving systemic corticosteroids and / or anticonvmcLsants are eligible . participants with signs or symptoms of neurological compromise shomcLd have appropriate radiographic imaging performed before enrollment to rmcLe out brain metastasis .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"13","known untreated",1,"unless                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"21","history of or known",1,"must have had treatment of their brain metastasis completed at least 1 day prior to enrollment and be on stable dose of steroids or off steroids at the time of enrollment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",1
"26","known cns disease except for treated",1,"or compromise resmcLting from extrinsic disease in the bone or dura r n presence of more than 5 liver metastases or one liver metastasis measuring more than 3 cm r n cancer antigen ca 19 9 > = 3000 u / ml r n oxygen requirement attributable to pleural effusion or other malignant process r n symptomatic ascites or radiographic evidence of more than trace ascites                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",1
"27","participants may have",1,"es that may be considered active                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"37","patients will be excluded if they have",1,"no radiographic progression at least 4 weeks following radiation and / or surgical treatment off steroids for at least 4 weeks and have no new or progressing neurological signs or symptoms will be allowed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"39","subjects with a history of",1,"allowed if previously treated stable and off steroids for a minimum of 56 days                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",1
"42","stable",1,"that have been treated with definitive surgery or radiation and have been clinically stable for 3 months are eligible                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"43","untreated or uncontrolled",1,"are excluded patients with a prior history of brain metastasis are eligible if they have received prior brain radiation have improved or stable intracranial disease for at least 3 months after completion of last course of radiation and are not taking corticosteroids for treatment of brain metastasis patients with a prior history of brain metastases who meet other eligibility criteria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",1
"44","subjects who have a history of",1,"that have been stable without steroid treatment for at least 3 months following prior treatment may be enrolled                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",1
"45","have",1,"causing any symptoms treated brain metastasis must be stable for 4 weeks prior to first dose of study drug and not requiring steroids for at least 7 days prior to study treatment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
