"","Blank 1","Frequency","Blank 2","Frequency"
"1","",2,".                                                                                ",9
"7","patients with other uncontrolled / progressing infections defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection . for bacterial infections patients must be receiving definitive therapy and have no signs of progressing infection for 72 hours prior to enrollment . for fungal infections patients must be receiving definitive systemic anti fungal therapy and have no signs of progressing infection for 1 week prior to enrollment .",2,"                                                                     ",7
"8","patients with other uncontrolled infections for bacterial infections patients must be receiving definitive therapy and have no signs of progressing infection for 72 hours prior to enrollment for fungal infections patients must be receiving definitive systemic anti fungal therapy and have no signs of progressing infection for 1 week prior to enrollment progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection",2,"patients with ongoing viral infections are excluded",1
"3","patients with other uncontrolled infections for bacterial infections patients must be receiving therapy and have no signs of progressing infection for 72 hours prior to enrollment . for fungal infections patients must be receiving anti fungal therapy and have no signs of progressing infection for 1 week prior to enrollment . progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection .",1,"",NA
"4","new symptoms worsening physical signs or radiographic findings attributable to infection",1,"",NA
"5","worsening physical signs or radiographic findings attributable to infection .",1,"",NA
"6","patients with other uncontrolled infections except hiv / aids for bacterial infections patients must be receiving definitive therapy and have no signs of progressing infection for 72 hours prior to enrollment for fungal infections patients must be receiving definitive systemic anti fungal therapy and have no signs of progressing infection for 1 week prior to enrollment progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection",1,"",NA
"9","patients with other uncontrolled infections for bacterial infections patients must be receiving definitive therapy and have no signs of progressing infection for 72 hours prior to generating ctls for fungal infections patients must be receiving definitive systemic anti fungal therapy and have no signs of progressing infection for 1 week prior to generating ctls progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection",1,"",NA
"10","patients with other uncontrolled infections for bacterial infections patients must be receiving definitive therapy and have no signs of progressing infection for 72 hours prior to enrollment for fungal infections patients must be receiving definitive systemic anti fungal therapy and have no signs of progressing infection for 1 week prior to enrollment r n progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection",1,"",NA
"11","patients with uncontrolled infections for bacterial infections patients must be receiving definitive therapy and have no signs of progressing infection for 72 hours prior to enrollment for fungal infections patients must be receiving definitive systemic antifungal therapy and have no signs of progressing infection for 1 week prior to enrollment progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection",1,"",NA
"12","new symptoms worsening physical signs or radiographic findings attributable to infection .",1,"",NA
"13","subject has an active uncontrolled infection . if an infection is present the patient must be receiving definitive therapy and have no signs of progressing infection . progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection .",1,"",NA
"15","progressing infection is defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection",1,"",NA
"17","subject has progressing infection defined as hemodynamic instability attributable to sepsis or new symptoms worsening physical signs or radiographic findings attributable to infection .",1,"",NA
