"","Blank 1","Frequency","Blank 2","Frequency"
"1","",13,"or prior complications of herpetic infection e . g . herpetic keratitis or encephalitis                                 ",3
"5","subjects must not have",2,"or prior complications of herpetic infection eg herpetic keratitis or encephalitis .                                   ",2
"2","patients with",1,"or prior complications of herpes simplex virus hsv 1 infection such as herpetic keratitis herpetic encephalitis                               ",1
"11","subject must not have evidence of clinically significant immunosuppression or",1,"or prior complications of herpetic infection e . g . herpetic keratitis or encephalitis are ineligible                             ",1
"16","patients must not have",1,"or prior complications of herpetic infection e . g . herpetic keratitis or encephalitis or requires intermittent or chronic systemic intravenous or oral treatment with an antiherpetic drug e . g . acyclovir other than intermittent topical use         ",1
"3","",NA,"or prior complications of herpetic infection                                         ",1
"4","",NA,"or prior complications of herpetic infection eg herpetic keratitis or encephalitis require treatment with an antiherpetic drug have received live virus vaccination within 30 days of planned treatment start have previous therapy with talimogene laherparepvec oncolyic viruses or tumor vaccine .  ",1
"6","",NA,"                                              ",1
"7","",NA,"or prior complications of hsv 1 infection e . g . herpetic encephalitis or keratitis                                ",1
"8","",NA,"or prior complications of herpetic infection and must not require intermittent or chronic treatment with an antiherpetic drug eg acyclovir other than intermittent topical use .                 ",1
"9","",NA,"or prior complications of herpes simplex type 1 hsv 1 infection eg herpetic keratitis or encephalitis and must not require intermittent or chronic systemic treatment with an antiherpetic drug eg acyclovir other than intermittent topical use .",1
"10","",NA,"or prior complication of herpes simplex virus hsv 1 infections e . g . herpetic encephalitis or keratitis                             ",1
"12","",NA,"or prior complications of herpes simplex type 1 virus hsv 1 infection eg herpetic keratitis or encephalitis .                             ",1
"13","",NA,"or prior complications of herpes simplex virus type 1 hsv 1 infection eg herpetic keratitis or encephalitis                              ",1
"14","",NA,"or prior complications of herpetic infection e . g . herpetic keratitis or encephalitis which requires intermittent or chronic treatment with an anti herpetic drug other than intermittent topical use             ",1
