"","Blank 1","Frequency","Blank 2","Frequency"
"8","patient has adequate",2,"fluency for completion of data collectionna                       ",4
"15","",2,"languagena                           ",2
"1","focus groups r n breast cancer patient stage 12 or 3 r n currently undergoing treatment with chemotherapy and / or radiation r n food insecure r n language spoken",1,"fluencyna                               ",2
"2","men that utilize",1,"or spanish",1
"3","non proficient in",1,"or spanish as their primary spoken or written language and identify with a latino ethnicity and / or cmcLturena          ",1
"4","understand spoken or written",1,"written and spoken na                         ",1
"5","patient must be proficient in",1,"written and spoken to complete study assessmentsna                    ",1
"6","patients not fluent in either",1,"or french spoken and written . na                    ",1
"7","must understand spoken or written",1,"fluency na                             ",1
"9","fcg has adequate",1,"fluency according to the standard united states us census question na            ",1
"11","caregiver has adequate",1,"fluency and indicates a preference for an interpreterna                   ",1
"12","low",1,"",NA
"13","shomcLd self report very well or well level of",1,"",NA
"14","self reports well level of",1,"",NA
