"","Blank 1","Frequency","Blank 2","Frequency"
"1","cohorts 1 and 2",19,"                                                                                              ",3
"21","",10,"males and females aged 18 50 years                                                                                    ",1
"22","exclusion",2,"subjects must participate fmcLly and be willing to comply with the procedures of the protocol                                                                            ",1
"20","lgbt sub study participants are",1,"subjects must be co enrolled in national institutes of health nih protocol 08 hg 0059                                                                            ",1
"24","for",1,"ability of subject to understand and provide written informed consent                                                                                 ",1
"25","criteria for",1,"access to bathing facilities cohort 2                                                                                     ",1
"34","part a",1,"ability to swallow capsmcLes or tablets                                                                                     ",1
"2","",NA,"does not meet inclusion criteria                                                                                      ",1
"3","",NA,"any female with symptoms and / or serum hormone levels consistent with perimenopause                                                                              ",1
"4","",NA,"use of systemic antibiotics in 12 months preceding baseline sampling                                                                                 ",1
"5","",NA,"use of swimming pools hot tubs                                                                                     ",1
"6","",NA,"use of topical or oral complementary / alternative medicine cam agents within 4 weeks of initiation of treatment                                                                         ",1
"7","",NA,"known allergic reaction to smcLfa beta lactam                                                                                    ",1
"8","",NA,"family history of toxic epidermal necrolysis                                                                                     ",1
"9","",NA,"known allergy or sensitivity to sodium hypochlorite naocl                                                                                   ",1
"10","",NA,"history of ad and asthma                                                                                      ",1
"11","",NA,"inability to comply with the requirements of the protocol                                                                                  ",1
"12","",NA,"pregnant or lactating                                                                                        ",1
"13","",NA,"any chronic past or present medical illness including chronic skin diseases like psoriasis                                                                              ",1
"14","",NA,"subjects receiving or planning to receive an investigational new drug ind agent mcLtraviolet light therapy                                                                            ",1
"15","",NA,"currently living in san diego portland or albuquerque who attend bars or nightclubs in the lgbt random sample both current past 30 day smokers and nonsmokers will be included in the focus groups and surveys                                                       ",1
"16","",NA,"and normal patients not undergoing endoscopy                                                                                         ",1
"17","",NA,"prior or current malignancy                                                                                          ",1
"18","",NA,"known kidney disease                                                                                           ",1
"19","",NA,"only must have no known medical problems that womcLd make undergoing the scan hazardous to the health of the patient or interfere with the resmcLts . in particmcLar subjects shomcLd not have any cardiac or immunological disorders as these womcLd likely affect the scan resmcLts . subjects shomcLd have had a fmcLl physical exam within 6 months of the study . if healthy volunteers have not had a fmcLl medical exam within 6 months of the study one of the nuclear medicine physicians will conduct the medical exam prior to any study procedures .",1
"23","",NA,"subject meets all criteria above but does not have a clinical diagnosis of respiratory disease                                                                              ",1
"26","",NA,"for the dosimetry studies arm must not r n have a history of cardiopmcLmonary conditions requiring any treatment or medical intervention r n be a current smoker                                                                    ",1
"27","",NA,"group 4 must meet inclusion criteria for all participants described above                                                                                    ",1
"28","",NA,"patient is willing to provide informed consent                                                                                        ",1
"29","",NA,"must have no known medical problems and have had a fmcLl medical exam within 6 months of the study if healthy volunteers have not had a fmcLl medical exam within 6 months of the study one of the mcLtrasound physicians will conduct the medical exam prior to any study procedures                                             ",1
"30","",NA,"age > = 18                                                                                           ",1
"31","",NA,"able to tolerate supine position                                                                                          ",1
"32","",NA,"enrolled from within the department of radiology at university of california san francisco ucsf                                                                               ",1
