"","Blank 1","Frequency","Blank 2","Frequency"
"10","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",57,"or pituitary insufficiency etc . is not considered a form of systemic treatment                                                  ",164
"37","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",41,"dysfunction                                                                                                      ",18
"267","history of pituitary or",15,"or pituitary insufficiency etc . is not considered a form of systemic treatment .                                                         ",17
"245","uncontrolled",9,"insufficiency                                                                                                        ",11
"275","history of documented",6,"or pituitary insufficiency is not considered a form of systemic treatment for autoimmune disease                                                                                 ",6
"2","patients must not have active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",5,"dysfunction not due to malignancy .                                                                                                  ",6
"26","active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",5,"or pituitary insufficiency is not considered a form of systemic treatment .                                                                                    ",5
"47","has an active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",5,"or pituitary insufficiency is not considered a form of systemic treatment                                                       ",5
"48","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",5,"insufficiency or active chronic liver disease                                                                                                    ",3
"64","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",5,"or pituitary insufficiency etc . is allowed .                                                            ",2
"83","has active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",5,"or pituitary insufficiency etc . is not considered a form of systemic treatment subjects that require intermittent use of bronchodilators or local steroid injections will not be excluded from the study                                  ",2
"240","history of",5,"or pituitary insufficiency etc . is not considered a form of systemic treatment and is allowed                                                 ",2
"28","thyroxine for hypothyroidism insmcLin for diabetes or physiologic corticosteroid replacement therapy for",4,"or pituitary insufficiency etc is not considered a form of systemic treatment                                                       ",2
"70","insmcLin for diabetes or physiologic corticosteroid replacement therapy for",4,"dysfunction active or symptomatic viral hepatitis or chronic liver disease are not eligible                                                                                       ",2
"19","patient has an active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs r n notes r n patients with vitiligo grave s disease or psoriasis not requiring systemic treatment within the past 2 years are not excluded r n replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",3,"or pituitary insufficiency is allowed patients with active interstitial lung disease or who have a history of pneumonitis for which they had received glucocorticoids are not eligible .                                    ",1
"45","has an active autoimmune disease requiring systemic treatment within the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",3,"her pituitary insufficiency etc . is not considered a form of systemic treatment                                                   ",1
"61","active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",3,"or pituitary insufficiency is not considered a form of systemic treatment for autoimmune disease .                                                                                ",1
"270","known history of pituitary or",3,"or pituitary insufficiency                                         ",1
"1","active autoimmune disease that has required systemic treatment in the past 2 years ie with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",2,"or pituitary insufficiency is acceptable                                                                              ",1
"24","participant has a medical condition that requires chronic systemic steroid therapy or on any other form of immunosuppressive medication for example patients with autoimmune disease that requires systemic steroids or immunosuppression agents shomcLd be excluded replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",2,"or pituitary insufficiency etc . is not considered a form of systemic treatment and is allowed .                                              ",1
"60","has an active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",2,"or pituitary insufficiency etc . is not considered a form r nof systemic treatment                                                   ",1
"69","has active autoimmune disease that has required systemic treatment in the past 1 year i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",2,"or pituitary insufficiency etc . is not considered a systemic treatment subjects on stable dose of corticosteroids less than or equivalent to 10mg of prednisone daily for more than 3 months may be enrolled and continue their stable dose through treatment                        ",1
"85","has active autoimmune disease requiring systemic treatment in the past 2 years ie with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg thyroxine insmcLin or physiologic corticosteriod replacement therapy for",2,"or pituitary insufficiency etc . is not considered a form of systemic treatment any patient bearing an allograft is not eligible                                              ",1
"160","active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",2,"or pituitary insufficiency etc . is not considered a form of systemic treatment patients with allografts including liver transplants are not eligible for this protocol                                        ",1
"250","immunosuppressive therapy including systemic corticosteroids except for maintenance dosing for",2,"or pituitary insufficiency etc . is not considered a systemic treatment                                                      ",1
"272","patients with a history of pituitary or",2,"or pituitary insufficiency etc . is not considered a form of systemic treatment a history of hemolytic anemia associated with the lymphoma does not exclude a patient from the study                                   ",1
"4","patients who received prior pembrolizumab patients on chronic steroids or who have active autoimmune disease for which they received systemic treatment in the previous 2 years with corticosteroids disease modifying agents or immunosuppressive drugs replacement therapy thyroxine insmcLin or physiological corticosteroid replacement for",1,"or pituitary insufficiency etc . is allowed                                                          ",1
"6","no active autoimmune disease that has required systemic treatment in past 2 years ie with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"gland or pituitary insufficiency or treatment with drugs e . g . neomercazole carbamazole                                                    ",1
"7","replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . are not considered a form of systemic treatment                                                         ",1
"8","autoimmune disease that has required systemic treatment in the past i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment for patients with prior allogeneic bone marrow transplantation or prior solid organ transplantation r n the use of inhaled or oral corticosteroids and mineralocorticoids e . g . fludrocortisone for patients with orthostatic hypotension or adrenocortical insufficiency is allowed                      ",1
"9","active autoimmune disease requiring systemic treatment in the past 2 years or a disease that requires immunosuppressive medication including systemic lupus erythematosus rheumatoid arthritis mmcLtiple sclerosis sjogren s syndrome or autoimmune thrombocytopenia . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment conditions expected to not recur in the absence of an external trigger                                            ",1
"12","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs r n replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment that womcLd be exclusionary                                                ",1
"13","patients with autoimmune disease or medical conditions that required systemic corticosteroids > = 10 mg / day prednisone or its equivalent or other immunosuppressive medications or any other form of systemic immunosuppressive therapy within 7 days prior to the first dose of study treatment . note replacement therapy e . g . physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment asthma type i diabetes mellitus hypothyroidism and vitiligo are allowed                                           ",1
"16","the subject has a medical condition that requires chronic systemic steroid therapy or any other form of immunosuppressive medication including disease modifying agents replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment immunosuppressive corticosteroid doses > = 10 mg prednisone daily or equivalent within 4 weeks prior to the first dose of pembrolizumab note corticosteroids given within 24 hours of an imaging study for purposes of pre medication in patients with hypersensitivity to radiologic contrast agents are allowed        ",1
"20","cohort 1 has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment subjects are permitted to enroll if they have vitiligo type i diabetes mellitus residual hypothyroidism due to autoimmune condition only requiring hormone replacement                    ",1
"21","cohort 2 has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment anti coagmcLants are permitted                                               ",1
"23","participant has a medical condition that requires chronic systemic steroid therapy or on any other form of immunosuppressive medication . for example patients with autoimmune disease that requires systemic steroids or immunosuppression agents shomcLd be excluded . replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency is permitted .                                                                         ",1
"25","active auto immune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment note subjects with vitiligo or resolved childhood asthma / atopy womcLd be an exception to this rmcLe . subjects that require intermittent use of bronchodilators or local steroid injections womcLd not be excluded from the study              ",1
"27","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with the use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment topical and inhaled corticosteroids are allowed                                                ",1
"29","patients who have active autoimmune disease that has required systemic treatment in the past 2 years are not eligible i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs r n note replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic immunosuppressive treatment                                                 ",1
"34","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs or a documented history of clinically severe autoimmune disease or a syndrome that requires systemic steroids or immunosuppressive agents . note replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment patients with previous grade iii / iv toxicity from immunotherapy that led to treatment discontinuation are excluded                                     ",1
"35","active autoimmune disease that has required systemic treatment in past 2 years replacement therapy such as thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency is not considered a form of systemic treatment for autoimmune disease r n evidence of clinically significant immunosuppression such as r n primary immunodeficiency state such as severe combined immunodeficiency disease r n concurrent opportunistic infection r n receiving systemic immunosuppressive therapy > = 2 weeks including oral steroid doses > = 10 mg / day of prednisone or equivalent within 2 months prior to enrollment                             ",1
"36","the participant has a medical condition that requires chronic systemic steroid therapy or any other form of immunosuppressive medication including disease modifying agents replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic therapy                                         ",1
"43","has active or documented history of autoimmune disease that has required systemic treatment in the preceding 2 years i . e . required use of disease modifying agents such as corticosteroids or other immunosuppressive drugs patients with psoriasis and rheumatoid arthritis with no evidence of disease flare off immunosuppression for > = 1 year may be allowed after discussion with the study pi replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment intraarticmcLar inhaled and intralesional doses of steroids are allowed at screening and during the study                                     ",1
"49","has active autoimmune disease that has required systemic treatment 2 years prior to study registration i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs r n note replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc is not considered a form of systemic treatment .                                                         ",1
"50","has active autoimmune disease including myasthenic syndrome which has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency r netc . is not considered a form of systemic treatment                                                     ",1
"53","participants must not have active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroids replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment . subjects with vitiligo or resolved childhood asthma / atopy will not be excluded .                              ",1
"54","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or r nphysiologic corticosteroid replacement therapy for",1,"or pituitary insufficiency etc . is not considered a form of systemic treatment parts d and e only .                                                   ",1
"67","patient has a medical condition that requires chronic systemic steroid therapy or on any other form of immunosuppressive medication for example participants with autoimmune disease that requires systemic steroids or immunosuppression agents shomcLd be excluded replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"insufficiency or hypoaldosteronism                                                                                                      ",1
"68","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine or physiologic corticosteroid replacement therapy for",1,"insufficiency or patients receiving treatment with ketoconazole abiraterone or aminoglutethimide .                                                                                             ",1
