"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"175","dehydration",10,"",124,"                                                                                                                      ",23
"51","recovery to baseline or = <",7,"= <",30,"or to the levels dictated in the inclusion / exclusion criteria with the exception of alopecia                                                                                              ",14
"7","any unresolved toxicities from prior therapy greater than common terminology criteria for adverse events ctcae",6,"0 or",14,"except alopecia at the time of enrollment                                                                                                            ",8
"11","unresolved toxicities from prior anti cancer therapy defined as having not resolved to common terminology criteria for adverse event ctcae version 4",6,"> =",10,"nci ctcae v4 . 0                                                                                                                                ",7
"112","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae version v 4",5,"< =",2,"at the time of starting study treatment                                                                                                             ",5
"134","resolution of all acute adverse events resmcLting from prior cancer therapies to nci ctcae",4,"iii iv elevations in liver transaminases as defined by the common terminology criteria for adverse events ctcae version v . 4 . 0 or a bilirubin in excess of",1,"at the time of starting study treatment with the exception of alopecia and grade 2 prior platinum therapy related neuropathy                                                                                                     ",3
"5","unresolved toxicities from prior antitumor therapy defined as not having resolved to ctcae version 4 . 0",3,"=",1,"at the time of starting study treatment with the exception of alopecia and grade 2 prior platinum therapy related neuropathy .                                                                                                    ",2
"14","any unresolved toxicities from prior therapy greater than ctcae",3,"greater than",1,"at the time of starting study treatment .                                                                                                                  ",2
"104","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae version 4 . 0 = <",3,"2 or worse edema within 14 days to study day",1,"at the time of study entry                                                                                                   ",2
"10","unresolved toxicities from prior anti cancer therapy defined as having not resolved to common terminology criteria for adverse event ctcae version 4 . 03",2,"2 common terminology criteria for adverse events ctcae version 4 . 0 maximal interval between confirmation of renal function and injection of 18f fspg is",1,"common terminology criteria for adverse events ctcae version 4 . 0 from toxicities related to any prior treatment unless adverse events are clinically non significant and / or stable on supportive therapy                                                                                                  ",2
"22","unresolved toxicities from prior anticancer therapy defined as having not resolved to common terminology criteria for adverse event ctcae version 4 . 03",2,"of 0 or",1,"or less as per common terminology criteria for adverse events ctcae version 4 . 03 with the exception of alopecia and grade 2 prior platinum therapy related neuropathy                                                                                                    ",2
"34","with the exception of alopecia any unresolved toxicities from prior anti tumor treatments excluding corticosteroids shomcLd be no greater than common terminology criteria for adverse events ctcae version 4 . 0",2,"2 except alopecia at the time of screening however clinically relevant adverse events aes that will impact on the adverse drug event ade of the study drugs or safety of the subject must have resolved to grade",1,"except alopecia at the time of randomization                                                                                                                   ",2
"37","unresolved toxicities from prior anti cancer therapy defined as having not resolved to common terminology criteria for adverse event ctcae version 5",2,"0",1,"except alopecia grade 2 prior treatment related toxicities may be allowed after discussion with the principal investigator                                                                                               ",2
"52","recovery to baseline or",2,"",NA,"or baseline with the exception of alopecia                                                                                                   ",2
"132","patients who have not recovered from adverse events due to prior anti cancer therapy i . e . have residual toxicities > = common terminology criteria for adverse events ctcae",2,"",NA,"or baseline                                                                                                                        ",2
"146","fmcLly recovered from acute toxicities except alopecia of all prior therapies to common terminology criteria for adverse events ctcae = <",2,"",NA,"or better from the adverse events due to cancer therapeutics administered more than 4 weeks earlier                                                                                          ",2
"1","serum sodium potassium and calcium levels equivalent to",1,"",NA,"prior to registration                                                                                           ",2
"2","no unresolved toxicities from prior therapy greater than common terminology criteria for adverse events ctcae",1,"",NA,"adverse event ae values as defined by common terminology criteria for adverse events ctcae version 4 . 0                                                                                                              ",1
"3","9 . unresolved toxicities from prior anticancer therapy defined as having not resolved to baseline or to",1,"",NA,"or to levels dictated in the inclusion / exclusion criteria with the exception of alopecia                                                                                                      ",1
"4","with the exception of alopecia any unresolved toxicities from prior therapy greater than common terminology criteria for adverse events ctcae",1,"",NA,"with the exception of myelosuppression eg neutropenia anemia thrombocytopenia or to levels dictated in the eligibility criteria with the exception of alopecia or toxicities from prior antitumor therapy that are considered irreversible defined as having been present and stable for > = 2 months which may be allowed if they are not otherwise described in the exclusion criteria and there is agreement to allow by both the investigator and sponsor .                                                ",1
"6","participant has unresolved clinically significant toxicities from prior anticancer therapy defined as greater than",1,"",NA,"on common terminology for adverse events .                                                                                                                   ",1
"12","with the exception of alopecia any unresolved toxicities from prior therapy greater than ctcae",1,"",NA,"at the time of starting study treatment with the exception of alopecia or neuropathy                                                                                                                 ",1
"16","unresolved toxicities from prior anti tumor therapy defined as not having resolved to common terminology criteria for adverse events ctcae version 4 . 03",1,"",NA,"with the exception of alopecia grade 2 at the time of starting study treatment                                                                                                           ",1
"18","unresolved toxicities from prior anti cancer therapy defined as having not resolved to common terminology criteria for adverse event ctcae version v 4",1,"",NA,"or to levels dictated in the eligibility criteria with the exception of alopecia or toxicities from prior anti tumor therapy that are considered irreversible defined as having been present and stable for > = 28 days which may be allowed if they are not otherwise described in the exclusion criteria and there is agreement to allow by both the investigator and amgen                                                  ",1
"19","unresolved toxicities from prior anticancer therapy defined as having resolved to common terminology criteria for adverse events ctcae version 4 . 03",1,"",NA,"with the exception of myelosuppression e . g . neutropenia anemia thrombocytopenia or to levels dictated in the eligibility criteria with the exception of alopecia or toxicities from prior antitumor therapy that are considered irreversible defined as having been present and stable for > = 2 months which may be allowed if they are not otherwise described in the exclusion criteria and there is agreement to allow by both the investigator and sponsor                                              ",1
"26","208 unresolved toxicity from prior anti tumor therapy defined as not having resolved to ctcae version 4 . 0",1,"",NA,"with the exception of alopecia                                                                                                           ",1
