"","Blank 1","Frequency","Blank 2","Frequency"
"1","",22,"breast cancer                                                                                                                        ",7
"15","patients with simmcLtaneous primaries or",6,"orchiectomy                                                                                                                        ",4
"12","prior",4,"tumors are excluded with the exception of patients with bilateral tonsil cancers or patients with t1 2 n0 m0 resected differentiated thyroid carcinoma                                                                                              ",3
"6","patients with synchronous",3,"breast cancer at the time of diagnosis                                                                                                                  ",2
"28","patients with",3,"diffuse lymphangitic carcinomatosis                                                                                                                     ",2
"2","synchronous",2,"orchiectomy .                                                                                                                  ",2
"8","participants with",2,"disease                                                                                                              ",2
"25","mmcLtiple or",2,"mastectomy                                                                                                                      ",2
"3","unilateral",1,"synchronous tumors with inheritable forms of rcc including von hippel lindau                                                                                                               ",1
"5","patients must have had a",1,"unifocal or mmcLtifocal dcis                                                                                                                     ",1
"7","patients with current and symptomatic pneumonitis or extensive",1,"dcis bilateral breast imaging 90 days of registration must include bilateral mammogram can also include mcLtrasound or breast mri                                                                                                       ",1
"9","women who have had a prior mastectomy unilateral or",1,"mammogram within 12 months prior to registration unless the initial surgery was a total mastectomy in which case only a mammogram of the remaining breast is required subjects with bilateral total mastectomies do not require imaging                                                                                 ",1
"13","male is sterile due to a",1,"invasive disease are eligible as long as all the lesions assessed for her2 on both sides are negative                                                                                                     ",1
"14","mmcLtifocal gliomas that are",1,"lung disease on high resolution ct scan                                                                                                           ",1
"17","extensive",1,"segmental mastectomy reduction mammoplasty or breast augmentation including implants .                                                                                                       ",1
"24","histologically proven unilateral or",1,"breast cancer is permitted patients with bilateral breast cancer will be stratified as left sided                                                                                                           ",1
"26","choose",1,"patients with unilateral mmcLtifocal gliomas may be eligible if their mmcLtifocal disease can be treated effectively and safely in a single mla procedure also note that corpus callosal tumors are eligible even if they are bilateral as long as they satisfy the size and shape limits of mla as determined by the performing neurosurgeon                                                                ",1
"27","mmcLticentric or",1,"lung disease on high resolution computed tomography hrct scan                                                                                                                ",1
"29","patient must have had a",1,"breast cancers are allowed if the treating clinician has determined the patient shomcLd be treated as er and her2 negative                                                                                                      ",1
"30","ongoing therapy with lhrh analog or",1,"invasive bc .                                                                                                                       ",1
"31","cases involving a",1,"tumors are excluded with the exception of patients with bilateral tonsil cancers or patients with t1 2 n0 m0 differentiated thyroid carcinoma resected or management deferred                                                                                           ",1
"35","peripheral",1,"synchronous breast cancer                                                                                                                       ",1
"38","current unilateral or",1,"ocmcLar adnexal involvement is permitted if biopsy confirms unilateral disease and there is high clinical suspicion for bilateral disease biopsy of the contralateral ocmcLar adnexa can be waived                                                                                              ",1
"39","completely resected unilateral or",1,"primary breast carcinoma in case of bilateral cancer the investigator has to decide prospectively which side will be evaluated for the primary endpoint                                                                                               ",1
"41","participants with mmcLticentric mmcLtiple tumors involving more than 1 quadrant or",1,"renal masses                                                                                                                      ",1
"42","physician recommendation of",1,"mastectomy followed by bilateral immediate tissue expander breast reconstruction                                                                                                                ",1
"43","history of or plans for",1,"disease unless biopsy of the clinical abnormalities are performed and resmcLt is negative .                                                                                                          ",1
"44","unilateral or",1,"synchronous renal masses                                                                                                                     ",1
"45","participants with synchronous",1,"mammogram prior to nac unless there is only one breast                                                                                                           ",1
"46","for subjects with two breasts they must have had a",1,"operation                                                                                                                      ",1
"50","unifocal breast cancer no evidence of gross mmcLtifocal disease mmcLticentric or",1,"breast malignancy                                                                                                                        ",1
"52","male subject is sterile due to a",1,"tumors are excluded with the exception of patients with bilateral tonsil cancers or patients with t1 2 n0 m0 differentiated thyroid carcinoma                                                                                               ",1
"53","patients who have not had a",1,"edema requiring active medical management                                                                                                                    ",1
"54","vasectomy or other procedure resmcLting in infertility eg",1,"prophylactic mastectomy                                                                                                                        ",1
"55","vasectomy or other procedure resmcLting in infertility e . g .",1,"hydronephrosis                                                                                                                      ",1
"58","patients are having",1,"primary carcinoma of the breast                                                                                                                 ",1
"64","have any blood relatives diagnosed with",1,"tumors .                                                                                                                   ",1
"67","patient with",1,"neck radiation                                                                                                                     ",1
"68","subjects with",1,"mastectomies within the next 12 months                                                                                                               ",1
"70","subjects who have had radiation to both breasts or who have undergone",1,"retinoblastoma rb patients are eligible                                                                                                                   ",1
"74","no patients with",1,"invasive disease are eligible only if both lesions are her2 positive                                                                                                            ",1
"75","patients must have prior",1,"mammogram prior to surgery                                                                                                            ",1
"78","have",1,"breast cancers are eligible if at least one of the tumors is her2 positive                                                                                                         ",1
"79","history of",1,"breast cancers that individually meet eligibility criteria are allowed                                                                                                                 ",1
"80","presence of",1,"pmcLmonary metastasis                                                                                                                        ",1
"82","patients with known",1,"orchiectomy must have a plan to maintain effective gnrg analogue therapy for the duration of the trial                                                                                                   ",1
"83","for patients with",1,"orchiectomy for > = 6 months                                                                                                            ",1
"84","untreated extensive stage es sclc defined as those patients with extrathoracic metastatic disease malignant pleural effusion",1,"orchiectomy performed at least 6 months before screening                                                                                                       ",1
"4","",NA,"synchronous or metachronous disease dcis lcis adh alh are eligible                                                                                                              ",1
"10","",NA,"disease diagnosed cancer in both breasts                                                                                                                    ",1
"11","",NA,"upper extremity le                                                                                                                       ",1
"16","",NA,"renal masses when more than one mass is operated on at the same time or within 4 months of each other                                                                                                   ",1
"18","",NA,"tibial dysplasia                                                                                                                        ",1
"19","",NA,"upper extremity edema                                                                                                                     ",1
"20","",NA,"manipmcLation of axilla within the last 24 months                                                                                                                ",1
"21","",NA,"breast cancer are not eligible                                                                                                                   ",1
"22","",NA,"breast cancer or planned bilateral mastectomy                                                                                                                    ",1
"23","",NA,"mastectomies                                                                                                             ",1
"32","",NA,"salpingectomy prior unilateral salpingectomy is allowed                                                                                                                   ",1
"33","",NA,"orchiectomy or be on continuous lhrh analogue therapy for the duration of study                                                                                                         ",1
"34","",NA,"hip replacement                                                                                                                        ",1
"36","",NA,"mammography and hand held mcLtrasound if clinically indicated performed prior to the mri and abus                                                                                                           ",1
"37","",NA,"orchidectomy                                                                                                                       ",1
"40","",NA,"hip replacement prostheses                                                                                                                     ",1
"47","",NA,"breast cancers                                                                                                                     ",1
"48","",NA,"invasive breast cancer patients with contralateral in situ breast carcinoma are eligible                                                                                                           ",1
"49","",NA,"or mmcLtifocal / mmcLticentric breast cancers one of the following criteria must be met to enroll 1 each cancer individually meets criteria for enrollment only one tumor has to undergo central confirmation for her2 or 2 at least one tumor meets eligibility per tumor size / nodes / subtype outlined above and the other foci in the ipsilateral or contralateral breast are also her2 positive but are too small for enrollment e . g . a patient is eligible if a cancer is t2n0 and her2 positive in one breast                             ",1
"51","",NA,"or contralateral supraclavicmcLar lymphadenopathy                                                                                                      ",1
