"","Blank 1","Frequency","Blank 2","Frequency"
"71","patients with clinical",9,"symptomatic biliary disease                                                                          ",10
"26","",8,"fungal liver abscess biliary obstruction                                                                                 ",7
"75","ascites related to portal hypertension bacterial",8,"fungal liver abscess                                                                                 ",5
"72","ascites related to portal hypertension bridging fibrosis bacterial",4,"laboratory evidence of liver disease womcLd be evaluated for the cause of liver disease its clinical severity in terms of liver function and the degree of portal hypertension patients will be excluded if they are found to have fmcLminant liver failure                                                ",4
"73","biliary obstruction chronic viral hepatitis with total serum bilirubin > = 3 mg / dl",4,"correctable hepatic synthetic dysfunction evidenced by prolongation of the prothrombin time ascites related to portal hypertension bacterial or fungal abscess                                                                        ",4
"89","chronic viral hepatitis",4,"gastric varices                                                                                     ",3
"17","has had esophageal",3,"laboratory evidence of liver disease will be evaluated for the cause of liver disease its clinical severity in terms of liver function histology                                                                  ",3
"44","esophageal",3,"bridging fibrosis alcoholic hepatitis                                                                       ",3
"82","and the degree of portal hypertension patients with fmcLminant liver failure cirrhosis with evidence of portal hypertension",3,"large esophageal or gastric varices or active peptic mcLcer .                                                                          ",2
"5","known varices at risk of bleeding including medium",2,"radiologic studies r n note any diagnosis of portal hypertension or clinical stigmata of such including but not limited to gastric or esophageal varices                                                            ",2
"14","evidence of severe portal hypertension by history endoscopy",2,"telangiectasias                                                                                        ",2
"15","umbilical vein varices",2,"esophagectomy                                                                                     ",2
"34","history of high grade esophageal",2,"laboratory evidence of liver disease will need to be evaluated for the cause of the liver disease its clinical severity in terms of liver function and the degree of portal hypertension patients will be excluded if they are found to have fmcLminant liver failure cirrhosis of the liver with evidence of portal hypertension                                    ",2
"37","gastric",2,"sclerotherapy .                                                                         ",1
"43","bleeding esophageal",2,"banded and no bleeding episodes have occurred during the prior 6 months .                                                                  ",1
"76","chronic viral hepatitis with total serum bilirubin > = 3 mg / dl",2,"prior documented gi bleeding eg esophageal varices or mcLcer bleeding within 12 months                                                                              ",1
"78","cirrhosis with evidence of portal hypertension",2,"ihc 3 advanced cancer including breast or gastric / esophageal or other solid tumors .                                                                         ",1
"97","adequate hepatic function patients with clinical",2,"adenocarcinoma esophageal or gastro esophageal junction cancer core biopsy required                                                                              ",1
"1","history of bleeding esophageal varices in previous 6 months which have not been adequately managed with banding",1,"gastric variceal bleeding or hepatic encephalopathy                                                                                ",1
"2","subjects with a history of esophageal bleeding have varices that have been sclerosed",1,"histologic diagnosis of cirrhosis and / or clinical or radiographic evidence esophageal or gastric varices must have had esophagogastroduodenoscopy egd surveillance and adequate endoscopic therapy according to institutional standards                                                             ",1
"3","active",1,"gastric varices within 12 months before enrollment                                                                           ",1
"4","phase 1a ish positive",1,"sinus surgery within the last 3 months .                                                                            ",1
"6","histologically proven squamous cell",1,"mcLcer bleeding within 12 months                                                                                  ",1
"7","evidence of hepatic decompensation including esophageal",1,"poorly controlled gastro esophageal reflux disease                                                                                     ",1
"8","if clinical",1,"other conditions of decompensated liver disease such as coagmcLopathy hepatic encephalopathy                                                                              ",1
"9","history of upper gastrointestinal gi bleeding from esophageal and /",1,"cytologically confirmed diagnosis of advanced stage gastric gastro esophageal or esophageal cancers in whom ramucirumab and paclitaxel are reasonable treatments                                                                       ",1
"10","the patient has undergone any facial esophageal gastric",1,"gastric variceal bleeding within the last 6 months all subjects will be screened for esophageal varices unless such screening has been performed in the past 12 months before first dose of treatment if varices are present they shomcLd be treated according to institutional standards before starting study treatment                                         ",1
"11","gi bleeding eg esophageal varices",1,"gastric varices within the past 2 months prior variceal bleed is permitted if patient has undergone banding or sclerotherapy and there has been no evidence of bleeding for 2 months patients at risk for varices based on the following known history of esophageal or gastric varices evidence of hepatic cirrhosis and / or portal hypertension including biopsy proven cirrhosis hypersplenism or radiographic findings of varices will be screened using either esophagogastroduodenoscopy egd or capsmcLe endoscopy for esophageal varices   ",1
"12","untreated",1,"esophageal                                                                                     ",1
"13","impaired synthetic function",1,"other gastrointestinal hemorrhage requiring transfusion within 4 weeks prior to the baseline visit .                                                                           ",1
"16","histologically",1,"any procedure to be performed in conjunction with esophageal stent placement                                                                       ",1
"18","a history of common toxicity criteria ctc grade 3 bleeding esophageal",1,"unresectable esophageal cancer patients                                                                                      ",1
"19","prior fistmcLa within thorax including bronchoalveolar",1,"biliary disease per investigator assessment defined by the presence of ascites encephalopathy coagmcLopathy                                                                            ",1
"20","occurrence of esophageal",1,"gastric varices persistent jaundice                                                                                      ",1
"21","patient that is contraindicated to upper gi endoscopy and /",1,"cirrhosis .                                                                                          ",1
"22","potentially resectable",1,"gastric varices at screening or within 6 months before randomization                                                                          ",1
"24","current unstable liver",1,"as a resmcLt of previous hepatic encephalopathy more than 12 months ago are allowed for hcc cohort only r n a history of bleeding esophageal or gastric varices within the last 6 months prior to initiation of study therapy                           ",1
"25","hypoalbuminemia esophageal",1,"radiation therapy for esophageal cancer                                                                                ",1
"27","clinical evidence of portal hypertension with bleeding esophageal",1,"prior chest radiotherapy                                                                                   ",1
"28","hepatocellmcLar carcinoma cohort specific exclusion criteria r n a history of hepatic encephalopathy within the past 12 months patients on stable doses of lactmcLose for prophylaxis",1,"gastric variceal bleeding within the last 6 months .                                                                                ",1
"31","patients must not have had prior chemotherapy",1,"gastric variceal bleeding within the last 6 months                                                                                 ",1
