"","Blank 1","Frequency","Blank 2","Frequency"
"2","patients who",9,"eligible                                                                                                                                   ",8
"17","",4,"ineligible                                                                                                                                    ",6
"69","and",3,"allowed                                                                                                                                 ",3
"70","patients who have undergone prior liver transplantation",3,"eligible .                                                                                                                                ",2
"1","patients",2,"not eligible within 60 days of therapy                                                                                                               ",2
"55","they",2,"candidates for allogeneic transplantation have a suitable donor                                                                                                                                    ",2
"62","prior allogeneic stem cell transplant sct within 16 weeks or autologous sct within 8 weeks of initiation of therapy patients that require immunosuppressive therapy",2,"willing to undergo transplantation                                                                                                                                         ",2
"3","patients who have had an allogeneic hematopoietic stem cell transplantation",1,"between t 40 and t 100 after allogeneic transplantation                                                                                                                                 ",2
"4","subjects who have opted not to undergo allogeneic hematopoietic stem cell transplantation and who",1,"considered to have failed available therapies or to be ineligible for or to not be interested in intensive chemotherapies including allogeneic hematopoietic stem cell transplantation                                                                                                                    ",1
"5","patients who have had a prior stem cell transplantation",1,"candidates for allogeneic stem cell transplantation .                                                                                                                                     ",1
"6","patients who have received allogeneic hematopoietic stem cell transplantation",1,"not eligible .                                                                                                                                 ",1
"7","patients will have completed induction therapy achieved 1st cr and will have completed any planned post remission therapy patients",1,"not deemed eligible for high intensity chemotherapy .                                                                                                                        ",1
"9","patients that have received prior allogeneic stem cell transplantation",1,"not eligible for participation                                                                                                                                 ",1
"10","patients who have undergone autologous / allogeneic stem cell transplantation",1,"not candidates for allogeneic stem cell transplantation for purposes of this study                                                                                                               ",1
"11","there",1,"not candidates for allogeneic stem cell transplantation shall be defined as 1 those who do not meet the eligibility criteria of an open allogeneic transplant protocol or 2 those who do not have a suitable available human leukocyte antigen hla matched donor available or 3 those who refuse to undergo stem cell transplantation or 4 those patients whose disease is characterized by good risk features for aml the following cytogenetic subtypes t 8 21 inv 16                                                                ",1
"12","patients who have undergone either ablative or non myeloablative allogeneic stem cell transplantation",1,"excluded from this study                                                                                                                                 ",1
"13","patients who have undergone allogeneic stem cell transplantation for the treatment of any hematological malignancy",1,"no liver function test criteria for non myeloablative allogeneic stem cell transplantation                                                                                                                                 ",1
"14","b cell lymphoma classified as either of the following r / r fl after treatment with at least one prior chemoimmunotherapy regimen that included an anti cluster of differentiation 20 cd20 monoclonal antibody r / r dlbcl after treatment with at least one prior chemoimmunotherapy regimen that included an anti cd20 monoclonal antibody in participants who",1,"not eligible for second line combination chemotherapy and autologous stem cell transplantation have failed second line combination chemotherapy                                                                    ",1
"15","patients who completed single autologous stem cell transplant after completion of at most 2 induction regimens excluding dexamethasone alone and",1,"in at least stable disease compared to pre induction in the first 100 days after stem cell transplantation                                                                                                        ",1
"16","for rituximab in combination with polatuzumab vedotin and lenalidomide r pola len treatment group r / r dlbcl after treatment with at least one prior chemoimmunotherapy regimen that included an anti cd20 monoclonal antibody in patients who",1,"not eligible for autologous stem cell transplantation or who have experienced disease progression following treatment with high dose chemotherapy plus autologous stem cell transplantation                                                                                 ",1
"18","patients who have ever received an autologous hematopoietic stem cell transplantation autohsct",1,"schedmcLed to receive an autologous hematopoietic stem cell transplantation autohsct are not eligible                                                                                                                               ",1
"20","recipients of prior autologous hematopoietic stem cell transplantation",1,"ineligible if disease recurrence occurred less than 6 months from their autologous stem cell transplant .                                                                                                                      ",1
"21","lymphoblastic leukemia lymphoma",1,"included                                                                                                                                           ",1
"22","autologous transplantation",1,"candidate for an autologous or allogeneic stem cell transplantation sct will be allowed to receive the study drugs as a bridge to transplantation if candidates for transplant                                                                                                                 ",1
"24","patient participants who have undergone autologous stem cell transplantation autosct",1,"eligible provided that they are > = 4 weeks from stem cell infusion                                                                                                                       ",1
"26","patients with b lineage all at least marrow cr in salvage 1 and beyond with molecmcLar failure at any time point after 1 month of salvage therapy",1,"planned for treatment with high dose melphalan and autologous hematopoietic cell transplantation hct                                                                                                                                ",1
"27","patients must have relapsed after high dose therapy and autologous transplantation or be ineligible for high dose therapy and autologous transplantation patients that have failed autologous transplantation",1,"allowed including patients who received prior allogeneic stem cell transplantation                                                                                                         ",1
"29","persistent positron emission tomography pet positivity after chemotherapy",1,"those with persistent disease > = 30 days after transplant those ineligible for autologous transplant include those with chemoresistant disease i . e . patients who have not achieved a partial response or better with their most recent chemotherapy regimen                                                                           ",1
"31","have received or",1,"expected to have a poor outcome from autologous transplant e . g . dlbcl relapsing within one year of rituximab                                                                                                                          ",1
"32","patients who have undergone autologous stem cell transplantation asct",1,"unable to collect sufficient or tumor free autologous stem cells per seattle cancer care alliance scca standard practice                                                                                                                    ",1
"33","prior high dose chemotherapy and autologous hematopoietic cell transplantation hct s is",1,"unable to tolerate the high dose autologous conditioning regimens or who refuse a high dose autologous transplant regimen                                                                                                                            ",1
"34","patients who have undergone autologous hematopoietic stem cell transplantation",1,"ineligible for immediate established curative regimens including stem cell transplantation                                                                                                                                 ",1
"35","subject must have documented diagnosis with previously untreated for cohort c the induction and consolidation treatment along with the first autologous stem cell transplantation asct",1,"eligible provided that they are > = 4 weeks from stem cell infusion and meet other eligibility criteria                                                                                                                   ",1
"36","for rituximab atezo pola treatment group relapsed or refractory dlbcl after treatment with at least one prior chemoimmunotherapy regimen that included an anti cd20 monoclonal antibody in participants who",1,"eligible once they have recovered from all toxicities from therapy                                                                                                                           ",1
"37","participants who",1,"not eligible for second line combination immuno chemotherapy and autologous stem cell transplantation or who have failed second line combination immuno chemotherapy or experienced disease progression following autologous stem cell transplantation                                                                                  ",1
"38","patients for whom lenalidomide and dexamethasone treatment is appropriate and who",1,"newly diagnosed and not considered candidate for high dose chemotherapy with stem cell transplantation sct due to being age > = 65 years or in participants < 65 years presence of important comorbid conditions likely to have a negative impact on tolerability of high dose chemotherapy with stem cell transplantation                                                                                          ",1
"40","patients with histologically confirmed cd20 positive b cell non hodgkin lymphoma nhl who",1,"not eligible for high dose therapy followed by stem cell transplantation hdt sct for 1 or more of the following reasons                                                                                                              ",1
"41","phase i patients with diagnosis of mmcLtiple myeloma at any stage of disease undergoing high dose chemotherapy and stem cell transplantation phase ii patients with myeloma undergoing a first high dose chemotherapy and stem cell transplantation after achieving at least stable disease following induction therapy any induction regimen prior to transplantation is allowed no more than 2 prior lines of therapy prior to transplantation",1,"eligible for autologous transplantation                                                                                                                                        ",1
"42","patients with relapsed mmcLtiple myeloma following autologous stem cell transplantation must have achieved at least partial response following additional chemotherapy cohort 1 r n patients",1,"candidates for autologous stem cell transplantation sct                                                                                                                          ",1
"43","subjects with aml in their first relapse following a remission > = 12 months in duration who",1,"eligible if relapse occurs with complex / high risk cytogenetics or occurs with normal cytogenetics but within 15 months following the autologous transplant                                                                                              ",1
"45","alkylating agent or corticosteroid subjects who",1,"eligible for standard therapies e . g . chemotherapy or stem cell transplantation                                                                                                                ",1
