"","Blank 1","Frequency","Blank 2","Frequency"
"1","use",13,"that may decrease psa levels e . g . saw palmetto                                                                                                                                               ",5
"4","no use",2,"that may decrease psa levels within 4 weeks prior to enrollment                                                                                                                                              ",2
"6","user",1,"that may have hormonal anti prostate cancer activity and / or are known to decrease psa levels e . g . saw palmetto within 4 weeks of study drug administration day 1                                                                                                                          ",1
"2","",NA,"that may have hormonal anti prostate cancer activity and / or are known to decrease psa levels e . g . saw palmetto or systemic corticosteroids within 6 months of enrollment                                                                                                                           ",1
"3","",NA,"                                                                                                                                                         ",1
"5","",NA,"that may decrease psa levels i . e . saw palmetto no washout period required                                                                                                                                           ",1
"7","",NA,"that may decrease psa levels i . e . saw palmetto or systemic corticosteroid greater than the equivalent of 10 mg of prednisone per day during the 4 weeks prior to screening or plans to initiate treatment with the above during the entire duration of the study                                                                                                           ",1
"8","",NA,"that may have hormonal anti prostate cancer activity and / or are known to decrease psa levels e . g . saw palmetto or systemic corticosteroids greater than the equivalent of replacement steroids or > = equivalent of 10 mg of prednisone per day within 4 weeks of enrollment day 1 visit                                                                                                      ",1
"9","",NA,"that may have hormonal anti prostate cancer activity and / or are known to decrease psa levels e . g . saw palmetto or systemic corticosteroids greater than the equivalent of 10 mg of prednisone per day within 2 weeks of enrollment                                                                                                                ",1
"10","",NA,"that may have hormonal anti prostate cancer activity and / or are known to decrease psa values e . g . saw palmetto or systemic corticosteroids for prostate cancer within 4 weeks of day 29 visit start of enzalutamide and adt                                                                                                                 ",1
"11","",NA,"that may have hormonal anti prostate cancer activity and / or are known to decrease psa levels e . g . saw palmetto or systemic corticosteroids greater than the equivalent of 10 mg of prednisone per day within 4 weeks of enrollment                                                                                                                ",1
