"","Blank 1","Frequency","Blank 2","Frequency"
"1","",7,"                                                                                                                                                                                                                                            ",16
"10","history of severe immediate hypersensitivity reaction to cyclophosphamide or",5,"fludarabine phosphate                                                                                                                                                                                                                       ",3
"3","history of severe immediate hypersensitivity reaction to cyclophosphamide",4,"cladribine                                                                                                                                                                                                                                                      ",2
"5","history of hypersensitivity to cyclophosphamide",3,"chemotherapy                                                                                                                                                                                                                                                  ",2
"4","contraindication to cyclophosphamide or",2,"phosphate fludarabine                                                                                                                                                                                                                                    ",2
"14","or",2,"or campath within 12 months prior to study entry                                                                                                                                                                                                                                              ",2
"21","any known contraindications to cyclophosphamide",2,".                                                                                                                                                                                                                                    ",1
"36","able to tolerate high dose cyclophosphamide",2,"interleukin 2                                                                                                                                                                                                                                                     ",1
"2","patients with a known hypersensitivity to treosmcLfan and / or",1,"or il 2 .                                                                                                                                                                                                                                              ",1
"7","subject has known sensitivity and immediate hypersensitivity to any components of amg 119 or conditioning regimen cyclophosphamide and",1,"or aldesleukin                                                                                                                                                                                                                                             ",1
"9","prior use of clofarabine or",1,"fludarabine phosphate or bendamustine based regimen r n progression within 24 months of a fludarabine and alkylator combination regimen r n progression after any regimen in the presence of deletion del 17p or mutated tumor protein p53 tp53 r n persons with high grade lymphoma transformation                                                                                                                                                                              ",1
"11","previously known hypersensitivity to any of the agents used in this study known sensitivity to busmcLfan or",1,"bendamustine                                                                                                                                                                                                                                           ",1
"13","washout period of at least 14 days after any approved or experimental tumor directed therapy prior to start of cyclophosphamide and",1,"flu and busmcLfan r n fractionated total body irradiation tbi and cyclophosphamide r n busmcLfan and cyclophosphamide                                                                                                                                                                                              ",1
"16","received any investigational agent within the 14 days before the start of study treatment 1st dose of",1,"fludarabine phosphate or fail to have a complete or partial response after therapy with a regimen containing fludarabine or another nucleoside analog e . g . cladribine 2 cda                                                                                                                                                                                                            ",1
"20","b cell b chronic lymphocytic leukemia cll r n relapse / progression after two previous regimens r n no response or progression = < 6 months after",1,"or another nucleoside analog                                                                                                                                                                                                                                    ",1
"23","patients who relapse after receiving a one or more courses of",1,"or il 2                                                                                                                                                                                                                                               ",1
"24","must receive a myeloablative or reduced intensity conditioning regimen for stem cell transplant sct as defined by the center for international blood and bone marrow transplant research cibmtr r n cyclophosphamide cy and single dose total body irradiation r n",1,"based therapy within 6 months of enrollment                                                                                                                                                                                                                                                ",1
"26","chronic lymphocytic leukemia / small lymphocytic lymphoma cll / sll must be refractory to",1,"and cyclophosphamide                                                                                                                                                                                                                                     ",1
"27","pentostatin or experience disease relapse within 12 months after completing therapy with a regimen containing",1,"fludarabine phosphate conditioning regimen and patients toxicities must have recovered to a grade 1 or less except for toxicities such as alopecia or vitiligo                                                                                                                                                                                                          ",1
"30","history of allergic reactions to chemotherapy agents used in this protocol as part of lymphodepletion regimen",1,"and high dose il 2                                                                                                                                                                                                                                            ",1
