"","Blank 1","Frequency","Blank 2","Frequency"
"1","",27,"disease                                                                                                                                 ",51
"20","subjects with",11,"disease .                                                                                                                              ",5
"2","participants with",9,"disease are excluded                                                                                                                             ",3
"4","patients with",7,"disease or infection                                                                                                                               ",2
"5","subjects with an",4,"or immunosuppressive disease .                                                                                                                            ",1
"24","has",2,"disease or significant autoimmune related toxicity from prior immuno oncology therapy                                                                                                                     ",1
"27","any",2,"disease with exceptions noted in protocol .                                                                                                                           ",1
"13","patients with an",1,"disease treated hypothyroidism is permitted to enroll                                                                                                                         ",1
"14","participants must not have an",1,"disease . subjects with resolved side effects from prior checkpoint inhibitor therapy vitiligo                                                                                                              ",1
"49","subject with",1,"",NA
"66","history of clinically significant autoimmune disease including",1,"",NA
