"","Blank 1","Frequency","Blank 2","Frequency"
"8","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to cycle 1 day 1 r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled r n the use of inhaled corticosteroids and mineralocorticoids e . g .",10,"adrenocortical insufficiency is allowed                                            ",25
"6","",2,"adrenocortical insufficiency is allowed .                                         ",4
"9","the use of inhaled corticosteroids and mineralocorticoids e . g .",2,"adrenocortical insufficiency is allowed r n patients who receive low dose supplemental corticosteroids for adrenocortical insufficiency are allowed                                                                                                       ",1
"21","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor tnf agents within 2 weeks prior to cycle 1 day 1 r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled r n the use of inhaled corticosteroids and mineralocorticoids e . g .",2,"",NA
"1","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to cycle 1 day 1 r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled r n the use of inhaled corticosteroids and systemic mineralocorticoids e . g .",1,"",NA
"2","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 6 weeks prior to cycle 1 day 1 r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled r n the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"3","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to cycle 1 day 1 r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea or steroids as computed tomography ct scan contrast premedication may be enrolled r n the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"4","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 14 days prior to randomization however r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea or chronic daily treatment with corticosteroids with a dose of = < 10 mg / day methylprednisolone equivalent may be enrolled r n the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"5","patients must not have received treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 4 weeks prior to cycle 1 day 1 exceptions 1 patients may have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea 2 the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"10","medication related treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to cycle 1 day 1 r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled . r n the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"12","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to start of study treatment . r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled . r n the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"13","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to study treatment but a . patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled b . the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"14","atezolizumab related exclusion treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to cycle 1 day 1 a patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled . b the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"17","patients who have received treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks before initiation of study treatment r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled r n the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"18","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to cycle 1 day 1 . patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled . the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"19","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents = < 2 weeks prior to registration r n note r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled r n the use of inhaled corticosteroids and mineralocorticoids e . g .",1,"",NA
"22","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents within 2 weeks prior to cycle 1 day 1 r n patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea may be enrolled r n the use of inhaled corticosteroids or mineralocorticoids e . g .",1,"",NA
"24","treatment with systemic immunosuppressive medications including but not limited to prednisone cyclophosphamide azathioprine methotrexate thalidomide and anti tumor necrosis factor anti tnf agents = < 14 days prior to randomization exception patients who have received acute low dose systemic immunosuppressant medications e . g . a one time dose of dexamethasone for nausea are eligible the use of inhaled corticosteroids and mineral corticoids e . g .",1,"",NA
