"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"2","patients with a",14,"other than",30,"skin cancers patients are not considered to have a currently active malignancy if they have completed therapy and are considered by their physician to be at less than 30 risk of relapse                                                            ",3
"4","",8,"except",1,"skin cancers patients are not considered to have a currently active malignancy if they have completed therapy and are free of disease for > = 3 years                                                                   ",2
"1","subjects with a",4,"other that",1,"skin cancers non invasive bladder cancer low risk adenocarcinoma of the prostate and carcinoma in situ of the cervix patients are not considered to have a currently active malignancy if they have completed therapy and are free of disease for > = 2 years                                                  ",2
"22","patients may not have a",2,"",NA,"skin cancers are not eligible                                                                                         ",2
"28","any",2,"",NA,"skin cancers                                                                                               ",2
"9","second malignancy no",1,"",NA,"skin cancers are not eligible patients are not considered to have a currently active malignancy if they have completed all therapy and are now considered without evidence of disease for 1 year                                                              ",2
"27","no",1,"",NA,"skin or superficial urothelial cancers are not eligible subjects are not considered to have a currently active malignancy if they have completed therapy and are now considered without evidence of disease for 2 years prior to cycle 1 day 1                                                      ",1
"3","",NA,"",NA,"skin cancers or non invasive bladder cancers or other in situ or non invasive malignancies . subjects are not considered to have a currently active malignancy if they have completed therapy and are free of disease for > = 3 years                                                     ",1
"5","",NA,"",NA,"skin cancer or carcinoma in situ of the cervix patients are not considered to have a currently active malignancy if they have completed therapy and have no evidence of recurrence for at least 5 years                                                              ",1
"6","",NA,"",NA,"skin cancers .                                                                                           ",1
"7","",NA,"",NA,"skin cancer                                                                                                ",1
"8","",NA,"",NA,"skin cancer or carcinoma in situ of the cervix . patients are not considered to have a currently active malignancy if they have completed therapy and have no evidence of recurrence for at least 5 years .                                                            ",1
"10","",NA,"",NA,"skin cancers non invasive bladder cancer low risk adenocarcinoma of the prostate and carcinoma in situ of the cervix patients are not considered to have a currently active malignancy if they have completed therapy and are free of disease for > = 3 years                                                  ",1
"11","",NA,"",NA,"skin cancers or non invasive bladder cancers or other in situ or non invasive malignancies patients who have completed therapy for a prior malignancy and are free of disease for > = 3 years are eligible                                                          ",1
"12","",NA,"",NA,"skin or superficial urothelial cancers are not eligible patients are not considered to have a currently active malignancy if they have completed therapy and are now considered without evidence of disease for 2 years                                                            ",1
"13","",NA,"",NA,"skin cancer . patients are not considered to have a currently active malignancy if they have completed necessary therapy and are considered by their physician to be at < 30 risk of relapse at time of assessment .                                                        ",1
"14","",NA,"",NA,"skin cancers or non muscle invasive transitional cell carcinoma of bladder patients are not considered to have a currently active malignancy if they have completed therapy and are now considered by their physician to be at less than 30 risk for relapse                                                       ",1
"15","",NA,"",NA,"skin cancers are not to be registered patients are not considered to have a currently active malignancy if they have completed therapy and considered by their physician to be at less than 30 risk of relapse                                                          ",1
"16","",NA,"",NA,"skin cancer or in situ carcinoma of the cervix or breast patients are not considered to have a currently active malignancy if they have completed anti cancer therapy are considered by their physician to be at less than 30 risk of relapse and at least 2 5 years have lapsed                                            ",1
"17","",NA,"",NA,"skin cancers patients are not considered to have a currently active malignancy if they have completed therapy more than 3 years ago and are considered to have a less than 30 risk of relapse based on the enrolling investigator s assessment and documented in the medical record a history of prostate cancer that was identified incidentally following cystoprostatectomy or cystectomy for bladder cancer is acceptable provided that the following criteria are met r n stage t2n0m0 or lower r n gleason score = < 7 negative margins at surgery and prostate specific antigen psa undetectable after surgery",1
"18","",NA,"",NA,"skin cancer . patients are not considered to have a currently active malignancy if they have completed therapy and are considered by their physician to be at least less than 30 risk of relapse over next 3 months .                                                         ",1
"19","",NA,"",NA,"skin cancers are not eligible patients are not considered to have a currently active malignancy if they have completed anti cancer therapy and are considered by their physician to be at less than 30 risk of relapse                                                         ",1
"20","",NA,"",NA,"skin cancer are excluded patients are not considered to have a currently active malignancy if they have completed therapy and are considered by their physician to be at less than 30 risk of relapse                                                            ",1
"21","",NA,"",NA,"skin cancer carcinoma in situ of the cervix or prostatic intraepithelial neoplasia within 1 year . subjects are not considered to have a currently active malignancy if they have completed therapy and are considered by their physician to be at less than 30 risk of relapse within 1 year .                                               ",1
"23","",NA,"",NA,"skin cancer patients are not considered to have a currently active malignancy if they have completed therapy and are considered by their physician to be at least less than 30 risk of relapse over next year                                                            ",1
