"","Blank 1","Frequency","Blank 2","Frequency"
"3","active human immunodeficiency virus hiv or hepatitis c virus hcv or hepatitis b virus hbv subjects who have an undetectable hiv",3,"load with cd4 > = 200 and are on highly active antiretroviral therapy haart medication are allowed subjects who are positive for hepatitis b core antibody or hepatitis b surface antigen must have a negative polymerase chain reaction pcr resmcLt before enrollment those who are pcr positive will be excluded patients who have had hepatitis c but have finished treatment and are pcr negative will be allowed testing to be done only in patients suspected of having infections or exposures                                                                                                           ",3
"2","positive hepatitis serology r n hepatitis b virus hbv patients with positive serology for hepatitis b defined as positivity for hepatitis b surface antigen hbsag or hepatitis b virus core antibody anti hbc patients who are positive for anti hbc may be considered for inclusion in the study on a case by case basis if they are hepatitis b",2,"dna                                                                                                                                                                                         ",3
"4","",2,"deoxyribonucleic acid dna negative and are willing to undergo ongoing hbv dna testing by real time polymerase chain reaction pcr patients with positive serology may be referred to a hepatologist or gastroenterologist for appropriate monitoring and management r n hepatitis c hcv patients with positive hepatitis c serology unless hcv ribonucleic acid rna is confirmed negative and may be considered for inclusion in the study on a case by case basis                                                                              ",2
"21","active hepatitis c infection subjects positive hepatitis c antibody test are eligible if polymerase chain reaction pcr is negative for hepatitis c",2,"or other infection that is uncontrolled or requiring iv antimicrobials for management simple urinary tract infection uti and uncomplicated bacterial pharyngitis are permitted if responding to active treatment ongoing infection with human immunodeficiency virus hiv or hepatitis b hepatitis b surface antigen hbsag positive or hepatitis c virus anti hepatitis c virus hcv positive a history of hepatitis b or hepatitis c is permitted if the viral load is undetectable per quantitative polymerase chain reaction pcr and / or nucleic acid testing                                                                                                                          ",1
"23","subjects with serologic status reflecting active",2,"deoxyribonucleic acid dna negative and are willing to undergo ongoing hbv dna testing by real time polymerase chain reaction pcr patients with positive serology may be referred to a hepatologist or gastroenterologist for appropriate monitoring and management r n patients with positive hepatitis b surface antigen hbsag consistent with prior vaccination to hbv i . e . hepatitis b virus surface antibody anti hbs anti hbc may participate r n patients suspected to have false positive serologic studies because of iv immunoglobmcLin administration are potentially eligible after negative pcr studies for viral dna / ribonucleic acid rna and discussion with the principal investigator r n hepatitis c virus hcv patients with positive hepatitis c serology unless hcv rna is confirmed negative and may be considered for inclusion in the study on a case by case basis e . g . patients with negative viral load after hcv specific treatment",1
"1","presence of fungal bacterial",1,"fungal mycobacterial parasitic                                                                                                                                                                                                             ",1
"5","or other infection excluding fungal infections of nail beds at study enrollment or any major episode of infection requiring treatment with iv antibiotics or hospitalization relating to the completion of the course of antibiotics within 2 weeks prior to cycle 1 day 1 r n known infection with human t cell leukemia virus 1 htlv 1 r n clinically significant history of liver disease including",1,"or other hepatitis                                                                                                                                            ",1
"7","known history of infection with human immunodeficiency virus hiv or hepatitis b hbsag positive or hepatitis c virus anti hcv positive . if there is a positive history of treated hepatitis b or hepatitis c the",1,"load must be undetectable per quantitative polymerase chain reaction pcr and / or nucleic acid testing .                                                                                                                                                           ",1
"8","active with hepatitis c virus hcv or hepatitis b virus hbv subjects who are positive for hepatitis b core antibody or hepatitis b surface antigen must have a negative polymerase chain reaction pcr resmcLt before enrollment those who are pcr positive will be excluded subjects who have an undetectable human immunodeficiency virus hiv",1,"load with cd4 > = 300 and are on highly active antiretroviral therapy haart medication are allowed previously treated hepatitis c patients are also allowed as there is potential for hepatic toxicity with nivolumab or nivolumab / ipilimumab combinations drugs with a predisposition to hepatoxicity shomcLd be used with caution in patients treated with nivolumab containing regimen                                                                                                  ",1
"10","known history of human immunodeficiency virus hiv or active with hepatitis c virus hcv or hepatitis b virus hbv subjects who are positive for hepatitis b core antibody or hepatitis b surface antigen must have a negative polymerase chain reaction pcr resmcLt before enrollment those who are pcr positive will be excluded subjects who have an undetectable human immunodeficiency virus hiv",1,"load with cd4 > = 200 and are on highly active antiretroviral therapy haart medication are allowed                                                                                                                                  ",1
"11","serologic status reflecting active hepatitis b or c patients with hepatitis b hbv antibody positive but who have positivity for hepatitis b surface antigen hbsag or anti hepatitis b core antibody anti hbc and patients who are positive for anti hepatitis c hcv will need to have a negative polymerase chain reaction pcr",1,"hbv deoxyribonucleic acid dna or hcv ribonucleic acid rna resmcLt prior to enrollment those who are hbsag positive or hbv dna positive and those who are positive for hcv rna will be excluded                                                                                                                          ",1
