"","Blank 1","Frequency","Blank 2","Frequency"
"39","",5,"                                                                                                                                                          ",40
"32","metastatic",3,".                                                                                                                                                         ",3
"3","no previous therapy for",2,"patients with clinical evidence of pancreatic insufficiency must be taking pancreatic enzyme replacement                                                                                                                                            ",2
"36","resectable",2,"or prior treatment with radiation for other diagnoses to expected pancreatic cancer treatment fields .                                                                                                                                         ",2
"49","version v . 4 . 0",2,"patients must have failed a minimum of one previous line of therapy for advanced disease                                                                                                                                            ",1
"56","prior treatment with chemotherapy or radiation for",2,"is not allowed                                                                                                                                                      ",1
"66","prior therapy before day 1 of cycle 1 for the treatment of stage iv",2,"or abdominal radiation therapy                                                                                                                                                     ",1
"1","cohort b group 2",1,"or any abdominal radiation therapy                                                                                                                                                 ",1
"2","previous systemic chemotherapy or radiation for",1,"who have not previously received pembrolizumab .                                                                                                                                                    ",1
"4","previous treatment for",1,"patients                                                                                                                                                    ",1
"5","a history of previous chemotherapy for",1,"the last dose of chemotherapy must have been > = 4 months prior to study entry patients with prior radiotherapy are acceptable it must be at least 4 months since administration of radiation therapy and all signs of toxicity must have abated                                                                                                             ",1
"6","patients must have no history of previous chemotherapy for",1,"r n stage i iii cytologically or histologically proven pancreatic adenocarcinoma r n cancer confirmed to be surgically resectable with surgery evaluation with planned resection r n patients may have prior neoadjuvant chemotherapy                                                                                                                           ",1
"8","subjects with msi h",1,"microcystic disease may be eligible                                                                                                                                                         ",1
"9","advanced",1,"are eligible patients who received chemotherapy > = 5 years ago for malignancies other than pancreatic cancer are also eligible provided that chemotherapy was completed > = 5 years ago and that there is no evidence of the second malignancy at the time of study entry                                                                                                           ",1
"10","phase ib no prior treatment with erlotinib is allowed for",1,"who have measurable disease                                                                                                                                                     ",1
"11","patients may have had prior adjuvant treatment for",1,"vaccine                                                                                                                                                    ",1
"12","for patients with",1,"therapy symptomatic therapies are allowed                                                                                                                                                      ",1
"13","and / or investigational agents for",1,"referred for image guided radiation therapy igrt                                                                                                                                                    ",1
"14","any prior treatment for",1,"for the pancreatic cancer cohort                                                                                                                                                      ",1
"15","cystic",1,"are eligible                                                                                                                                                ",1
"16","first line treatment for metastatic",1,"recurrence                                                                                                                                                           ",1
"17","any prior radiotherapy or chemotherapy for",1,"based on imaging                                                                                                                                                           ",1
"18","patients who received recent chemotherapy for",1,"cohort specific criteria r n patients must have unresectable or metastatic pancreatic cancer r n patients must have failed at least one prior line of therapy for metastatic or unresectable disease or have recurred within 6 months of completing adjuvant chemotherapy r n patients with liver metastases must have < 50 involvement of the liver                                                                                                        ",1
"19","pre screening patients with advanced metastatic",1,"= < 14 days prior to first dose of rucaparib                                                                                                                                                ",1
"20","had prior systemic therapy for",1,"after receiving 8 12 doses of folfirinox measurable disease is not required                                                                                                                                                ",1
"21","for ly3300054 merestinib in",1,"at fox chase cancer center fccc                                                                                                                                                     ",1
"22","have received any type of cancer immunotherapy including the same",1,"1 3 prior treatments                                                                                                                                                          ",1
"23","have received any anti",1,"with chemotherapy in adjuvant setting except those where at least 12 months have elapsed since completion of the last dose and no persistent treatment related toxicities present                                                                                                                                 ",1
"24","prior radiotherapy for",1,"and beginning or continuing folfirinox chemotherapy                                                                                                                                              ",1
"25","prior surgical resection of",1,"within the past six months may be excluded at the discretion of the investigator                                                                                                                                       ",1
"26","patients with pathologically confirmed",1,"and have a first degree relationship with at least one of the relatives with pancreatic cancer r n if only 2 family members are affected then both must have had pancreatic cancer and a first degree relationship with individual screened r n if there are more than 2 affected individuals on the same side of the family at least one of the individuals must have a first degree relationship with the member being screened r n patients at least 40 years yrs old or 10 yrs younger than the youngest affected individual r n peutz jeghers syndrome pjs patients age > = 30 r n hereditary pancreatitis patients r n patients with familial atypical mmcLtiple mole melanoma syndrome fammm r n patients with brca2 mutation and at least one first or second degree relative with documented pancreatic cancer",1
"27","locally advanced or metastatic",1,"surgeon or a mmcLti disciplinary or gastrointestinal oncology tumor board                                                                                                                                                 ",1
"28","prior systemic therapy for",1,"other than up to 4 cycles of mfolfirinox as noted above                                                                                                                                              ",1
"29","or radiotherapy for resectable",1,"and must conform to one or more of the following requirements r n have a strong family history of pancreatic cancer this is defined as pancreatic cancer occurring in one first degree relative and two other relatives                                                                                                            ",1
"30","patients who received chemotherapy > = 5 years ago for malignancies other than",1,"r n family history will be defined as pancreatic cancer occurring in one first degree relative and two other relatives or two first degree relatives                                                                                                                                  ",1
"31","prior use of radiotherapy or investigational agents for",1,"for whom the treatment plan                                                                                                                                                   ",1
"33","prior radiation therapy for",1,"resection                                                                                                                                                             ",1
"34","radiographic evidence of",1,"patient inclusion criteria                                                                                                                                                            ",1
"35","prior abdominal radiation therapy or prior chemotherapy for",1,"patient exclusion criteria                                                                                                                                                            ",1
"38","prior surgical or medical treatment for",1,"",NA
"40","received any systemic treatment for",1,"",NA
"41","no prior chemotherapy or radiation for",1,"",NA
"42","no definitive resection of",1,"",NA
"43","have stable metastatic",1,"",NA
"44","patients who have had any prior therapy for",1,"",NA
"47","subjects with one or more prior treatments for their",1,"",NA
"48","prior chemotherapy or radiation for",1,"",NA
"50","subjects who have had radiotherapy for",1,"",NA
"51","patients must have had no prior chemotherapy or radiation therapy for",1,"",NA
"53","immunotherapy or any clinical trials or radiotherapy for",1,"",NA
"54","maldigestion / malabsorption syndrome pre dating the diagnosis of",1,"",NA
"55","no prior treatment for",1,"",NA
"57","prior treatment with any chemotherapy for metastatic disease from",1,"",NA
"60","part b only prior therapy including investigational agents for",1,"",NA
"62","any prior treatment chemotherapy radiation for",1,"",NA
"63","patient must not have received prior chemotherapy or radiation for",1,"",NA
"64","prior chemotherapy immunotherapy or radiation for",1,"",NA
"65","surgery or investigational therapy for adjuvant or metastatic",1,"",NA
"68","are undergoing treatment for",1,"",NA
"69","mesothelioma",1,"",NA
"70","prior treatment of",1,"",NA
"71","observational arm only patients with a pathological or clinical diagnosis of",1,"",NA
"72","minocycline trial only patients who have had prior treatment for",1,"",NA
"73","one of the following high risk groups r n patients will be eligible if they have 2 or more relatives with",1,"",NA
"74","determined unresectable by a",1,"",NA
"75","patients who have received chemotherapy for",1,"",NA
"76","and 3 group 1 participants identified as being high risk for familial or hereditary",1,"",NA
"77","or family history of",1,"",NA
"78","patients with histologic or cytologic proof of",1,"",NA
"79","any prior systemic or investigational therapy for",1,"",NA
"80","undergoing",1,"",NA
