"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency","Blank 5","Frequency"
"1","as a part of the oncology patient enrollment network open registration process the treating institution s identity is provided in order to ensure that the current",31,"365",48,"date",48,"institutional review board approval for this",48,"has been entered in the system      ",45
"9","as a part of the open registration process the treating institution s identity is provided in order to ensure that the current",6,"14 or 21",4,"",5,"",7,"entry                        ",3
"2","as part of the oncology patient enrollment network open registration process the treating institution s identity is provided in order to ensure that the current",4,"the last 30",3,"with a drug that has not received regmcLatory approval for any indication at the time",3,"the initial dose of",3,"drug for a nonmyelosuppressive or myelosuppressive agent respectively .               ",2
"52","have received treatment with a drug that has not received regmcLatory approval for any indication",4,"14",1,"prior to randomization",2,"the first dose of",1,"drug for a nonmyelosuppressive or myelosuppressive agent respectively                 ",2
"51","have received treatment",3,"the last 28",1,"prior to study entry with any drug that has not received regmcLatory approval for an indication at the time",1,"",NA,"had been entered in the system       ",1
"28","regmcLatory criteria as a part of the oncology patient enrollment network open registration process the treating institution s identity is provided in order to ensure that the current",2,"28",1,"",NA,"",NA,"has been entered into the system           ",1
"50","treatment",2,"21",1,"",NA,"",NA,"has been entered into the database",1
"4","as part of the open registration process the treating institution s identity is provided in order to ensure that the current",1,"",NA,"",NA,"",NA,"drug for a nonmyelosuppressive agent or 21 days of the first dose of study drug for a myelosuppressive agent   ",1
"6","step 2 randomization as a part of the open registration process the treating institution s identity is provided in order to ensure that the current",1,"",NA,"",NA,"",NA,"entry or used an investigational device within 4 weeks of the first dose of treatment            ",1
"7","step 3 crossover registration optional as a part of the open registration process the treating institution s identity is provided in order to ensure that the current",1,"",NA,"",NA,"",NA,"treatment with dkn 01                                         ",1
"16","all patients as a part of the oncology patient enrollment network open registration process the treating institution s identity is provided in order to ensure that the current",1,"",NA,"",NA,"",NA,"drug with an experimental agent for noncancer indications that has not received regmcLatory approval for any indication .                    ",1
"44","at the time of patient registration the treating institution s name and identification id number must be provided to the data operations center in seattle in order to ensure that the current",1,"",NA,"",NA,"",NA,"",NA
"49","received another investigational agent defined as any agent / device that has not received regmcLatory approval for any indication",1,"",NA,"",NA,"",NA,"",NA
"58","",1,"",NA,"",NA,"",NA,"",NA
