"","Blank 1","Frequency","Blank 2","Frequency"
"2","",16,"involvement                                                                                                                                                                                                                                                                                                                                                                                                                                    ",10
"6","adequate",8,"studies                                                                                                                                                                                                                                                                                                                                                                                 ",5
"25","for patients with solid tumors without known",5,"                                                                                                                                                                                                                                                                                                                                                                                                                              ",5
"1","has adequate",3,"involvement peripheral absolute neutrophil count anc > = 1000 / mcL                                                                                                                                                                                                                                                                                                                                                                                                                          ",3
"33","absolute neutrophil count anc > = 1500 unless due to direct",3,"involvement with lymphoma                                                                                                                                                                                                                                                                                                                                                                                                                               ",3
"16","subjects must have adequate",2,"involvement of disease                                                                                                                                                                                                                                                                                                                                                                                                                              ",3
"47","absolute neutrophil count > = 1000 / mcL unless due to heavily infiltrated",2,"involvement by lymphoma                                                                                                                                                                                                                                                                                                                                                                                                                           ",3
"50","subjects with neutrophils < 1500 / mcL or Platelets < 100 000 / mcL with splenomegaly or extensive",2,".                                                                                                                                                                                                                                                                                                                                                                                                                      ",3
"60","for subjects with solid tumors without known",2,"> = 80 cll cell infiltrate                                                                                                                                                                                                                                                                                                                                                                                                                          ",3
"85","absolute neutrophil count anc > = 1000 / mcL unless due to",2,"involvement .                                                                                                                                                                                                                                                                                                                                                                                                     ",2
"104","lymphoma participants without",2,"involvement with > = 5 lymphoblasts                                                                                                                                                                                                                                                                                                                                                                                                                                      ",2
"3","hematologic anc 1 . 5 x 109 / l hgb 9 . 0 g / dl and Platelets count 100 x 109 / l Platelets count > = 75 x 109 / l if documented evidence of",1,"involvement of tumor                                                                                                                                                                                                                                                                                                                                                                                                                   ",2
"8","adequate hematologic function absolute neutrophil count anc 1 . 0 109 / l Platelets count 100 . 0 109 / l and hemoglobin 8 . 0 g / dl patients with",1,"highly infiltrated with cll cells e . g . > = 80                                                                                                                                                                                                                                                                                                                                                                                                       ",2
"10","inadequate",1,"involvement as the etiology for their cytopenias are eligible                                                                                                                                                                                                                                                                                                                                                                                                                 ",2
"11","patient must have adequate",1,"and malignancy is documented in the bone marrow                                                                                                                                                                                                                                                                                                                                                                                                             ",2
"17","12 . adequate",1,"involvement are not eligible                                                                                                                                                                                                                                                                                                                                                                                                                                     ",2
"20","patients must have adequate",1,"infiltration do not have to meet hematologic eligibility criteria significant bone marrow infiltration is defined as > = 50 involvement by cll                                                                                                                                                                                                                                                                                                                                                                                                   ",2
"28","Platelets count > = 50000 / mcL for patients with solid tumors and known",1,"involvement with disease                                                                                                                                                                                                                                                                                                                                                                                                                           ",2
"29","absolute neutrophil count > = 1000 / mcL unless documented",1,"involvement are allowed at the investigator s discretion regardless of cytopenias                                                                                                                                                                                                                                                                                                                                                                                                                          ",2
"30","within 10 days of treatment initiation absolute neutrophil count anc > = 1000 / mcL or > = 750 in subjects with",1,"function defined as Platelets count > = 100 x 109 / l hemoglobin > = 9 . 0 g / dl absolute neutrophil count > = 1 . 5 x 109 / l .                                                                                                                                                                                                                                                                                                                                                                                                        ",1
"32","absolute neutrophil count anc > = 750 / mcL for subjects without",1,"reserve consistent with absolute neutrophil count 1 . 5 x 109 / l Platelets count 100 x 109 / l and hemoglobin 9 g / dl without transfusion within 1 week preceding the administration of the study drugs                                                                                                                                                                                                                                                                                                                                                                                                      ",1
