"","Blank 1","Frequency","Blank 2","Frequency"
"1","american society of anesthesiologists",10,"class > = 3                                                                                                                                  ",2
"5","",8,"criteria of iv or higher                                                                                                                                ",2
"2","american society of anesthesiologists physical status",1,"status > = 2                                                                                                                                     ",2
"4","poor general health",1,"physical status 1 2 or 3 .                                                                                                                              ",1
"9","subject with american society of anesthesiology",1,"1 3 .                                                                                                                                ",1
"12","subject has",1,"class 4 or greater                                                                                                                                 ",1
"15","favorable operative risk defined as american society of anesthesiology score",1,"score 1 3 .                                                                                                                                     ",1
"17","classified by the american society of anesthesiologists",1,"class 4 or 5                                                                                                                                     ",1
"18","american society of anesthesiology",1,"score 1 2 .                                                                                                                                     ",1
"3","",NA,"status higher than 3 .                                                                                                                              ",1
"6","",NA,"score american society of anesthesiologists 4                                                                                                                                   ",1
"7","",NA,"classification of 5                                                                                                                                    ",1
"8","",NA,"score < / = 3                                                                                                                                ",1
"10","",NA,"score = < 3                                                                                                                           ",1
"11","",NA,"status > = 3                                                                                                                                 ",1
"13","",NA,"as class i iv                                                                                                                              ",1
"14","",NA,"physical status i iii                                                                                                                                 ",1
"16","",NA,"iv v                                                                                                                                       ",1
"19","",NA,"i iii                                                                                                                                   ",1
"20","",NA,"physical status 4 or 5                                                                                                                                ",1
"21","",NA,"score of > = or = 3                                                                                                                              ",1
"22","",NA,"< 4                                                                                                                                   ",1
