"","Blank 1","Frequency","Blank 2","Frequency"
"64","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years for example carcinoma in situ of the",9,"oral cavity                                                                                      ",21
"33","uteri or",8,"                                                                                  ",11
"34","history of malignancy other than non melanoma skin cancer or carcinoma in situ e . g . cervix bladder",4,"from which the patient has been disease free for > = 3 years                                                                                                 ",7
"3","",3,"unless disease free for at least 3 years                                                                                     ",5
"5","history of second malignancy other than non melanoma skin cancer or in situ carcinoma of the cervix or the",2,"cancer or cervix cancer unless the tumor was successfmcLly treated with curative intent at least 2 years before trial entry                                                                               ",3
"15","other cancer except that for which the transplant was done < 2 years before study entry except non melanoma skin cancer or carcinoma in situ of the uterine cervix or",2,"or cervix                                                                                     ",3
"25","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years with the exception of those with a negligible risk of metastases or death such as carcinoma in situ of the",2,"unless the tumor was successfmcLly treated at least 2 years before trial entry and with no evidence of relapse or active cancer                                                                       ",2
"27","prior invasive non",2,"unless in complete remission with no therapy for a minimum of 3 years .                                                                              ",2
"40","uterus or",2,"cancer in situ or r n prior malignancy completely excised or removed and patient has been continuously disease free for > = 5 years or r n prior malignancy cured by non surgical modalities and patient has been continuously disease free for > = 5 years                                                                 ",2
"49","history of malignancy other than nonmelanoma skin cancer or carcinoma in situ e . g . cervix bladder",2,"or follicmcLar lymphoma unless disease free for at least 3 years                                                                                   ",2
"71","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years non invasive conditions such as carcinoma in situ of the",2,"cancer is allowed                                                           ",2
"72","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 1095 days 3 years for example carcinoma in situ of the",2,"oral cavity or cervix are all permissible                                                                            ",2
"74","prior invasive malignancy except for non melanomatous skin cancer unless disease free for > = 3 years for example carcinoma in situ of the",2,"and appropriately treated in situ / early stage cervical / endometrial cancer                                                                ",2
"77","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 1095 days 3 years noninvasive cancers for example carcinoma in situ of the",2,".                                                                                                               ",1
"1","no history of other cancer except non melanoma skin cancer or in situ",1,"of cervix are allowed .                                                                                 ",1
"2","exclusion procurement history of other cancer except non melanoma skin cancer or in situ",1,"oral cavity or cervix .                                                                                          ",1
"4","pior history of treated malignancy in the past 2 years . subjects with non melanoma skin cancer localized prostate cancer and carcinoma in situ of the",1,"cancer                                                                                            ",1
"6","procurement exclusion critera r n active infection requiring antibiotics r n no history of other cancer except non melanoma skin cancer or in situ",1,"cancer or a history of any other cancer except nonmelanoma skin cancer or carcinoma in situ of the cervix unless in complete remission with no therapy for a minimum of 3 years                                                                              ",1
"7","prior additional malignancy within 2 years except for non melanoma skin cancer carcinoma in situ of the",1,"cancer participants who are stable on antiestrogen therapy may have that treatment continued                                           ",1
"8","second primary malignancy within the past 2 years except non melanoma skin cancer in situ carcinoma of the cervix",1,"carcinoma after complete surgical resection or superficial transitional cell bladder carcinoma                                                                                                   ",1
"9","have a history of any other cancer except non melanoma skin cancer or carcinoma in situ of the cervix or",1,"that does not require further treatment .                                                                                  ",1
"10","have a history of any other cancer except nonmelanoma skin cancer or carcinoma in situ of the cervix or",1,"carcinoma phase ii except for non melanoma skin cancer or curatively treated carcinoma in situ of the cervix diagnosed during the past five years                                                                                     ",1
"11","other active malignancy = < 3 years prior to registration exceptions non melanoma skin cancer prostatic intraepithelial neoplasia without evidence of prostate cancer lobmcLar carcinoma in situ in one",1,"or completely resected non melanoma skin cancer                                                                            ",1
"13","have inflammatory",1,"cancer or prostate cancer second malignancies are eligible after discussion with the study principal investigator pi                                                              ",1
"14","previous malignancy within 2 years prior to the first dose of arq 087 except curatively treated non melanoma skin cancer carcinoma in situ of the",1,"or cervix or pre cancerous lesions of the colon                                                  ",1
"16","have a history of any other cancer except non melanoma skin cancer or carcinoma in situ of the cervix unless in complete remission and off all therapy for that disease for a minimum of 3 years . at the discretion of the investigator hormone refractory prostate cancer participants who are stable on gnrh agonist therapy and",1,"cancer unless disease free for a minimum of 3 years                                                                                ",1
"17","previous malignancy within 2 years of the first dose of arq 087 except curatively treated or low grade malignancies such as non melanoma skin cancer carcinoma in situ of the",1,"malignancy except non melanomatous skin cancer carcinoma in situ of the cervix unless disease free for a minimum of 3 yrs prior to study entry                                                                                    ",1
"18","in situ",1,"malignancy except non melanomatous skin cancer unless disease free for a minimum of 1 year prior to registration                                                                                         ",1
"19","patients with another malignancy in the past 3 years except curatively treated non melanoma skin cancer or carcinoma in situ either cervix or",1,"malignancy unless disease free for a minimum of 1 year prior to registration                                                                                                ",1
"20","malignancy other than",1,"adenocarcinoma adequately treated non melanomatous skin cancer or other non invasive carcinoma or in situ neoplasm . a participant with previous history of malignancy is eligible                                                                              ",1
"22","patients must not have any history of other cancer within 5 years from registration with the exception of in situ carcinoma of the cervix in situ carcinoma of the",1,"from which the patient has been disease free for at least 3 years second primary breast cancers are allowed regardless of the number of years since they were first diagnosed                                                                                 ",1
