"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"4","history of hypersensitivity to durvalumab or",19,"",36,"                                                                                       ",31
"6","history of hypersensitivity to durvalumab tremelimumab or",4,"component /",1,".                                                                                       ",5
"2","known hypersensitivity to",2,"study related agent",1,"of prs 343 .                                                                                    ",1
"5","history of hypersensitivity to tremelimumab or",2,"of the investigational agents under test or any",1,"s                                                                                        ",1
"13","history of hypersensitivity to durvalumab or tremelimumab or",2,"component of the investigational product pvx 410 durvalumab or any",1,"of these products                                                                                  ",1
"25","history of hypersensitivity to medi4736 or",2,"",NA,"in nc 6300 .                                                                                    ",1
"1","history of infusion reactions to",1,"",NA,"",NA
"3","history of hypersensitivity to tremelimumab durvalumab or",1,"",NA,"",NA
"10","known hypersensitivity to st2210 dota biotin or",1,"",NA,"",NA
"16","or",1,"",NA,"",NA
"18","hypersensitivity to",1,"",NA,"",NA
"19","history of hypersensitivity to durvalumab medi4736 tremelimumab or",1,"",NA,"",NA
"20","",1,"",NA,"",NA
"29","history of hypersensitivity to durvalumab guadecitabine sgi 110 or",1,"",NA,"",NA
"39","have known hypersensitivity to anthracycline compounds or",1,"",NA,"",NA
