"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"3","impairment of gastrointestinal function",33,"gi disease that may significantly alter the absorption of the study drugs e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",13,"or small bowel resection              ",50
"57","impairment of gastrointestinal gi function",27,"gi disease that may significantly alter the absorption of study drug e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",10,"                                       ",10
"56","patient has impairment of gastrointestinal gi function",15,"gastrointestinal disease that may significantly alter the absorption of everolimus e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",8,"small bowel resection                                     ",9
"68","impaired gastrointestinal gi function",11,"gi disease that may significantly alter the absorption of bkm120 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",7,"small bowel resection or gastric bypass surgery                        ",8
"13","inability to swallow",3,"gastrointestinal disease e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",5,"or small bowel resection patients with unresolved diarrhea will be excluded as previously indicated                 ",8
"22","patients must be able to take oral medications patient may not have any impairment of gastrointestinal function",3,"",4,"or significant small bowel resection                            ",4
"60","patient is not able to swallow oral medication and /",3,"gi disease that may significantly alter the absorption of oral byl719 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",4,"or small bowel resection .                                ",4
"69","patient has impairment of gi function",3,"gastrointestinal disease that may significantly alter the absorption of drugs e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",3,"or small bowel resection that womcLd preclude use of oral medications                ",3
"1","patients must be able to take oral medications patients may not have any impairment of gastrointestinal function",2,"has impairment of gastrointestinal gi function or gi disease that may significantly alter the absorption of the study drugs e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",3,".                                                       ",3
"4","inability to take oral medication",2,"gi disease that may significantly alter the absorption of ceritinib e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea or",3,"or small bowel resection a nasogastric tube ng tube or gastric tube g tube is allowed                ",2
"26","patients with impairment of gastrointestinal function",2,"gastrointestinal disease that may significantly alter the absorption of palbociclib e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",2,"small bowel resection uncontrolled nausea or vomiting or grade > = 3 diarrhea of any etiology based on treating physician assessment          ",2
"28","impaired gastrointestinal function",2,"gastrointestinal disease that may significantly alter the absorption of rad001 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",2,"or extensive small bowel resection                              ",2
"54","",2,"impairment of gastrointestinal function or gastrointestinal disease that may significantly alter the absorption of the drugs e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",2,"or extensive small bowel resection participants with unresolved diarrhea > = ctcae grade 2 will be excluded as previously indicated          ",2
"58","patient is unable to swallow oral medications",2,"poorly controlled gastrointestinal disease that may significantly alter the absorption of oral byl719 e . g . crohn s disease mcLcerative colitis",2,"or small bowel resection are not eligible for participation                     ",2
"59","known impairment of gastrointestinal gi function",2,"gastrointestinal disease that may significantly alter the absorption of study drugs e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",2,"or any other uncontrolled gastrointestinal condition eg nausea diarrhea or vomiting that might impair the bioavailability of e7046                                 ",1
"62","participants with impairment of gastrointestinal gi function",2,"gastrointestinal disease e . g . active mcLcerative disease uncontrolled nausea vomiting diarrhea",2,"or small bowel resection a nasogastric tube ng tube is allowed                     ",1
"81","patient with impaired gastrointestinal gi function",2,"gi disease that may significantly alter the absorption of onc201 uncontrolled nausea vomiting diarrhea",2,"or small bowel resection that under the judgment of the principal investigator pi may impair absorption of study drugs                     ",1
"107","patients with impaired gastrointestinal gi function",2,"gi disease that may significantly alter the absorption of oral bgj398 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",2,"or small bowel resection sufficient to impair absorption of drug                      ",1
"2","patients must be able to take oral medications patients must not have any impairment of gastrointestinal function",1,"gi disease that may significantly alter the absorption of study drug e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",2,"small bowel resection note gastric bypass is allowed                                ",1
"27","patients may not have any impairment of gastrointestinal function",1,"gastrointestinal disease that may significantly alter the absorption of blinded drug e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"or small bowel resection are not eligible to participate in this study                 ",1
"33","patients with an impairment of gastrointestinal function",1,"gastrointestinal disease that may significantly alter the absorption of protocol treatment e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"or any other uncontrolled gastrointestinal condition eg nausea diarrhea or vomiting that might impair the bioavailability of lenvatinib or midazolam .                              ",1
"37","patient has impaired gastrointestinal function",1,"gastrointestinal disease that may significantly alter the absorption of axitinib e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"clinical signs and symptoms of gastrointestinal obstruction and / or patients who require parenteral hydration and / or nutrition .      ",1
"39","patient may not have any impairment of gastrointestinal function",1,"gastrointestinal disease that may significantly alter the absorption of cabozantinib e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"mcLcerative diseases bowel resection with decreased intestinal absorption                                  ",1
"49","current impairment of gastrointestinal function",1,"gastrointestinal disease that may significantly alter the absorption of rad001 i . e . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"or small bowel resection associated with malabsorption .                       ",1
"55","impaired gi function",1,"gastrointestinal disease that may significantly alter drug absorption e . g . inflammatory bowel disease uncontrolled nausea vomiting diarrhea",1,"extensive small bowel resection                                   ",1
"63","participant has impairment of gastrointestinal gi function",1,"gastrointestinal disease that may significantly alter the absorption of gdc 0032 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"small bowel resection with decreased intestinal absorption                           ",1
"73","any impairment of gastrointestinal gi function",1,"gastrointestinal disease that may significantly alter the absorption of azd4547 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"note concomitant therapy with proton pump inhibitors and / or h2 receptor antagonists is permissible      ",1
"86","ongoing gi adverse events > = grade 2 e . g . nausea vomiting",1,"gastrointestinal disease that may significantly alter the absorption of everolimus / lapatinib e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"obstruction or stomach and / or small bowel resection                     ",1
"91","patient has impaired gastrointestinal gi function",1,"gastrointestinal disease that may significantly alter the absorption of abt 888 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"small bowel resection including dependence on a gastrostomy g tube for administration of medications                ",1
"94","gastrointestinal gi disease",1,"gastrointestinal disease that may significantly alter the absorption of talazoparib bmn 673 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"or major small bowel resection                      ",1
"99","subject has impairment of gastrointestinal gi function",1,"gastrointestinal disease e . g . uncontrolled mcLcerative disease uncontrolled nausea vomiting diarrhea chronic",1,"or inability to swallow up to five ceritinib capsmcLes daily                     ",1
"130","inability to take oral medications e . g . impairment of gastrointestinal gi function",1,"gastrointestinal disease that may significantly alter the absorption of everolimus e . g . mcLcerative disease uncontrolled nausea vomiting and / or diarrhea",1,"small bowel resection that requires nutritional support                       ",1
