"","Blank 1","Frequency","Blank 2","Frequency"
"5","",12,"gadolinium containing contrast material                                                                                                                                                                                             ",5
"20","subjects who have a contraindication for mri metal in their bodies a cardiac pacemaker or other incompatible device are severely agitated or have an",4,"iodine                                                                                                                                                                                                                        ",4
"7","medical contraindication to mr imaging e . g . pacemakers metallic implants aneurysm clips known contrast",3,"gadolinium gd contrast material                                                                                                                                                                                              ",3
"23","known",3,"iodine note this does not include reactions to intravenous contrast materials                                                                                                                                                                                                               ",3
"16","women who have a contraindication to the intravenous use of iodinated contrast agent i . e .",2,"iodinated contrast or severely impaired renal function with a creatinine level > = 1 . 3                                                                                                                                                                                           ",2
"1","have a history of",1,"iodinated contrast media                                                                                                                                                                                                                   ",1
"2","subjects who have a contraindication for 3t mri metal in their bodies a cardiac pacemaker or other incompatible device are severely agitated or have an",1,"contrast agents may be enrolled at the treating physician s discretion with appropriate pre treatment and symptom management                                                                                                                                                                                                     ",1
"3","subjects with an",1,"x ray contrast agents .                                                                                                                                                                                                                     ",1
"4","subjects who have a contraindication for 3 tesla 3t mri metal in their bodies a cardiac pacemaker or other incompatible device are severely agitated or have an",1,"contrast agent .                                                                                                                                                                                                                      ",1
"6","severe",1,"gadolinium contrast pregnancy nursing mothers weight greater than 350 pounds                                                                                                                                                                                                ",1
"10","patients with known",1,"gadolinium contrast pregnancy nursing mothers weight greater than 350 pounds or severe anxiety / claustrophobia related to mr imaging despite medications to relieve anxiety / claustrophobia first 10 patients only however an investigator can still choose to enroll patients onto the trial who have these contra indications to mri these patients will not receive the two research mris at the wright center                                                                                                                                            ",1
"12","contraindications to administration of gadolinium based mri contrast agent e . g . magnevist such as chronic severe kidney disease acute kidney injury history of sickle cell disease history of anemia or intolerance /",1,"acyclovir or inability to receive contrast for ct and mri scans                                                                                                                                                                                                               ",1
"13","patients who have a history of",1,"intravenous iodinated contrast agents                                                                                                                                                                                                                   ",1
"14","known intolerance or",1,"or intolerance to iodinated contrast media despite standard of care pre medication                                                                                                                                                                                                              ",1
"15","patients with contraindication to the intravenous use of iodinated contrast agent i . e .",1,"the contrast agent                                                                                                                                                                                     ",1
"19","subjects who have a contraindication for 3 tesla t mri metal in their bodies a cardiac pacemaker or other incompatible device are severely agitated or have an",1,"iodides or iodinated contrast agents                                                                                                                                                                                                               ",1
"21","subjects who have a contraindication for 3tesla 3t mri or have an",1,"mr contrast agent gadolinium chelates including advanced kidney disease                                                                                                                                                                                                              ",1
"24","patients with a known",1,"gadolinium contrast pregnancy nursing mothers weight greater than 350 pounds gfr < 30                                                                                                                                                                                             ",1
"25","patient with",1,"iodinated contrast or severely impaired renal function with a creatinine level > = 1 . 3 or estimated glomermcLar filtration rate egfr > = 45                                                                                                                                                                                ",1
"26","subjects who have a contraindication for mri metal in their bodies a cardiac pacemaker or other incompatible device are severely agitated need monitored anesthesia for scanning or have an",1,"gadolinium containing contrast media                                                                                                                                                                                                                      ",1
"29","patients with",1,"fdg or gadolinium based contrast agents                                                                                                                                                                                                                   ",1
"34","subjects with known hypersensitivity and",1,"mr contrast agents                                                                                                                                                                                                                   ",1
"35","have a known",1,"contrast agent                                                                                                                                                                                                                      ",1
"41","dose escalation cohort only",1,"gd contrast material                                                                                                                                                                                          ",1
"42","an",1,"iodinated contrast                                                                                                                                                                                                                      ",1
"43","patients with a history of skin",1,"ct contrast media requiring the administration of steroid prophylaxis                                                                                                                                                                                                                 ",1
"44","women with a known",1,"intravenous ct contrast media                                                                                                                                                                                                                      ",1
"45","known prior allergic reaction to icg or",1,"gadolinium containing contrast agents                                                                                                                                                                                                                     ",1
"47","history of",1,"gadolinium contrast agents                                                                                                                                                                                                                  ",1
"48","participants with a known or suspected",1,"iodinated contrast agent                                                                                                                                                                                                                    ",1
"8","",NA,"iodine or gadolinium contrast that cannot be safely controlled with premedication                                                                                                                                                                                                               ",1
"9","",NA,"iodine this does not include reactions to intravenous contrast materials                                                                                                                                                                                                                ",1
"11","",NA,"iodine r n note this does not include reactions to intravenous contrast materials                                                                                                                                                                                                             ",1
"17","",NA,"iodine or adhesive drapes                                                                                                                                                                                                                ",1
"18","",NA,"proflavine acriflavine or iodine                                                                                                                                                                                                                  ",1
"22","",NA,"iodine or intravenous contrast agent .                                                                                                                                                                                                                   ",1
"27","",NA,"fluorescein                                                                                                                                                                                                                         ",1
